Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda212718,,acyclovir,acyclovir,chartwell rx,,suspension,oral,approved,authorised,23.04.2020,2020,no,,,,infectious and parasitic diseases,,,yes,,,chartwell,FDA,indications and usage herpes zoster infections: acyclovir is indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox: acyclovir is indicated for the treatment of chickenpox (varicella).,fda,no,<herpes zoster>; <genital herpes>; <chickenpox>,
anda212981,,acyclovir,acyclovir,cipla,,cream,topical,approved,authorised,02.05.2025,2025,no,,,,,,,yes,,,cipla,FDA,,fda,no,,
anda213951,,acyclovir,acyclovir,vistapharm llc,,suspension,oral,approved,discontinued,11.01.2021,2021,no,,,,,,,yes,,,vistapharm,FDA,,fda,no,,
anda215669,,acyclovir,acyclovir,hetero labs ltd iii,,suspension,oral,approved,authorised,01.07.2022,2022,no,,,,,,,yes,,,hetero,FDA,,fda,no,,
anda215724,,acyclovir,acyclovir,rubicon,,suspension,oral,approved,authorised,18.08.2022,2022,no,,,,infectious and parasitic diseases,,,yes,,,rubicon,FDA,indications and usage herpes zoster infections acyclovir is indicated for the acute treatment of herpes zoster (shingles). genital herpes acyclovir is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox acyclovir is indicated for the treatment of chickenpox (varicella).,fda,no,<herpes zoster>; <genital herpes>; <chickenpox>,
anda216331,,acyclovir,acyclovir,aurobindo pharma,,suspension,oral,approved,authorised,31.03.2022,2022,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda217393,,acyclovir,acyclovir,msn,,suspension,oral,approved,authorised,09.03.2023,2023,no,,,,,,,yes,,,msn,FDA,,fda,no,,
anda065150,,azithromycin,azithromycin,teva,small molecule,tablet,oral,approved,discontinued,14.11.2005,2005,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda065153,,azithromycin,azithromycin,teva,small molecule,tablet,oral,approved,discontinued,14.11.2005,2005,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda065179,,azithromycin,azithromycin,fresenius kabi usa,small molecule,injectable,injection,approved,authorised,13.12.2005,2005,no,,,,,,,yes,,,fresenius,FDA,,fda,no,,
anda065193,,azithromycin,azithromycin,teva,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda065209,,azithromycin,azithromycin,sandoz,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,sandoz,FDA,,fda,no,,
anda065211,,azithromycin,azithromycin,sandoz,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,sandoz,FDA,,fda,no,,
anda065212,,azithromycin,azithromycin,sandoz,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,sandoz,FDA,,fda,no,,
anda065218,,azithromycin,azithromycin,pliva,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,pliva,FDA,,fda,no,,
anda065223,,azithromycin,azithromycin,pliva,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,pliva,FDA,,fda,no,,
anda065225,,azithromycin,azithromycin,pliva,small molecule,tablet,oral,approved,authorised,14.11.2005,2005,no,,,,,,,yes,,,pliva,FDA,,fda,no,,
anda065246,,azithromycin,azithromycin,pliva,small molecule,suspension,oral,approved,authorised,06.07.2006,2006,no,,,,,,,yes,,,pliva,FDA,,fda,no,,
anda065265,,azithromycin,azithromycin,hikma,small molecule,injectable,injection,approved,discontinued,18.01.2007,2007,no,,,,,,,yes,,,hikma,FDA,,fda,no,,
anda065297,,azithromycin,azithromycin,sandoz,small molecule,suspension,oral,approved,discontinued,18.09.2006,2006,no,,,,,,,yes,,,sandoz,FDA,,fda,no,,
anda065302,,azithromycin,azithromycin,chartwell rx,small molecule,tablet,oral,approved,authorised,11.02.2008,2008,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda065360,,azithromycin,azithromycin,aurobindo pharma usa,small molecule,tablet,oral,approved,discontinued,08.01.2007,2007,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda065365,,azithromycin,azithromycin,norvium bioscience,small molecule,tablet,oral,approved,discontinued,30.05.2007,2007,no,,,,,,,yes,,,norvium,FDA,,fda,no,,
anda065366,,azithromycin,azithromycin,extrovis,small molecule,tablet,oral,approved,discontinued,30.05.2007,2007,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
