drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
certolizumab pegol,EMA,HealthCanada,48,1.5768725361366622,2009-06-25,2009-08-12,EMA -> HealthCanada
certolizumab pegol,HealthCanada,TGA,132,4.336399474375821,2009-08-12,2009-12-22,HealthCanada -> TGA
cetirizine hydrochloride,FDA,HealthCanada,454,14.914586070959263,1995-12-08,1997-03-06,FDA -> HealthCanada
cetuximab,FDA,HealthCanada,575,18.889618922470433,2004-02-12,2005-09-09,FDA -> HealthCanada
cetuximab,HealthCanada,TGA,1579,51.87253613666228,2005-09-09,2010-01-05,HealthCanada -> TGA
chlorhexidine gluconate,FDA,HealthCanada,382,12.54927726675427,1995-12-15,1996-12-31,FDA -> HealthCanada
chloroprocaine hydrochloride,FDA,HealthCanada,9479,311.3994743758213,1998-09-09,2024-08-22,FDA -> HealthCanada
chlorthalidone,FDA,HealthCanada,5901,193.85676741130092,2005-10-27,2021-12-23,FDA -> HealthCanada
cholic acid,EMA,FDA,1433,47.07621550591327,2011-04-14,2015-03-17,EMA -> FDA
choriogonadotropin alfa,FDA,HealthCanada,1548,50.85413929040735,2000-09-20,2004-12-16,FDA -> HealthCanada
chromic chloride,TGA,FDA,3037,99.7700394218134,2016-07-26,2024-11-18,TGA -> FDA
ciclesonide,HealthCanada,FDA,39,1.281208935611038,2006-09-11,2006-10-20,HealthCanada -> FDA
ciclesonide,FDA,TGA,1865,61.26806833114323,2006-10-20,2011-11-28,FDA -> TGA
ciclopirox,FDA,HealthCanada,3923,128.87647831800263,1997-07-21,2008-04-17,FDA -> HealthCanada
ciclosporin,EMA,TGA,1832,60.183968462549274,2015-01-22,2020-01-28,EMA -> TGA
ciltacabtagene autoleucel,EMA,Swissmedic,137,4.50065703022339,2022-03-24,2022-08-08,EMA -> Swissmedic
cipaglucosidase alfa,EMA,Swissmedic,567,18.626806833114323,2022-12-15,2024-07-04,EMA -> Swissmedic
cipaglucosidase alfa,Swissmedic,TGA,221,7.260183968462549,2024-07-04,2025-02-10,Swissmedic -> TGA
ciprofloxacin,FDA,HealthCanada,161,5.289093298291721,1997-09-26,1998-03-06,FDA -> HealthCanada
cisplatin,HealthCanada,FDA,798,26.21550591327201,1997-05-09,1999-07-16,HealthCanada -> FDA
cladribine,FDA,HealthCanada,3202,105.19053876478317,2000-02-28,2008-12-04,FDA -> HealthCanada
cladribine,HealthCanada,TGA,637,20.92641261498029,2008-12-04,2010-09-02,HealthCanada -> TGA
cladribine,TGA,EMA,2485,81.63600525624179,2010-09-02,2017-06-22,TGA -> EMA
clarithromycin,HealthCanada,FDA,1850,60.775295663600524,1995-02-08,2000-03-03,HealthCanada -> FDA
clascoterone,FDA,HealthCanada,1023,33.60709592641261,2020-08-26,2023-06-15,FDA -> HealthCanada
clascoterone,HealthCanada,TGA,267,8.771353482260183,2023-06-15,2024-03-08,HealthCanada -> TGA
clevidipine,FDA,TGA,619,20.33508541392904,2008-08-01,2010-04-12,FDA -> TGA
