"FORMULATION_ID"~"COMPONENT_ID"~"FORMULATION_TYPE"~"INGREDIENT_ID"~"LABEL_NAME_AND_POTENCY"~"CONCENTRATION_RATIO_1"~"CONCENTRATION_RATIO_2"~"POTENCY"~"POTENCY_MEASURED"~"UNIT_PROPORTION_CODE"~"ADDITIONAL_INFORMATION"~"STANDARDISED_FLAG"~"CREATION_DATE"~"LAST_UPDATE_DATE"~"QUANTITY"~"FORMULATION_INGREDIENT_TYPE"
14804~48859~E~58395~~~~~~mg~~~03-jul-2002 00:00:00~09-jan-2004 16:08:25~~S
14805~48859~E~55458~~~~~~mg~~~03-jul-2002 00:00:00~09-jan-2004 16:08:25~~S
14806~48859~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~09-jan-2004 16:08:25~~S
15204~48915~A~53808~~~~~~mg/g~~~03-jul-2002 00:00:00~23-jul-1992 00:00:00~20~S
15205~48915~E~54252~~~~~~~~~03-jul-2002 00:00:00~~~S
15206~48915~E~57963~~~~~~~~~03-jul-2002 00:00:00~~~S
15207~48915~E~56423~~~~~~~~~03-jul-2002 00:00:00~~~S
15208~48915~E~93224~~~~~~~~~03-jul-2002 00:00:00~11-oct-1994 00:00:00~~S
17122~49075~A~70757~~~~~~microgram/mL~~~03-jul-2002 00:00:00~~500~S
17123~49075~E~56582~~~~~~QS~To 1mL~~03-jul-2002 00:00:00~07-feb-2005 16:44:22~~S
17124~49075~E~55795~~~~~~mg/mL~~~03-jul-2002 00:00:00~07-feb-2005 16:44:46~~S
17125~49075~E~95425~~~~~~QS~For pH adjustment~~03-jul-2002 00:00:00~07-feb-2005 16:45:40~~S
17126~49076~A~70757~~~~~~microgram/mL~~~03-jul-2002 00:00:00~~400~S
17127~49076~E~56582~~~~~~QS~To 1mL~~03-jul-2002 00:00:00~07-feb-2005 15:22:44~~S
17128~49076~E~55795~~~~~~mg/mL~~~03-jul-2002 00:00:00~07-feb-2005 15:52:12~~S
17129~49076~E~95425~~~~~~QS~For pH adjustment~~03-jul-2002 00:00:00~07-feb-2005 15:50:32~~S
17144~49079~A~70757~~~~~~microgram/mL~~~03-jul-2002 00:00:00~~600~S
17145~49079~E~56582~~~~~~QS~To 1mL~~03-jul-2002 00:00:00~08-feb-2005 08:52:02~~S
17146~49079~E~55795~~~~~~mg/mL~~~03-jul-2002 00:00:00~08-feb-2005 08:52:44~~S
17147~49079~E~95425~~~~~~QS~For pH adjustment~~03-jul-2002 00:00:00~08-feb-2005 08:53:20~~S
17600~49124~A~52230~~~~~~mg~~~03-jul-2002 00:00:00~~300~S
17601~49124~E~55955~~~~~~mg~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17602~49124~E~58409~~~~~~mg~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17603~49124~E~68471~~~~~~mg~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17604~49124~E~93379~~~~~~mg~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17605~49124~E~77698~~~~~~mg~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17606~49124~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~29-jun-2001 00:00:00~~S
17607~49124~E~55624~~~~~~microgram~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17608~49124~E~52416~~~~~~microgram~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17609~49124~E~94457~~~~~~mg~~~03-jul-2002 00:00:00~28-jun-2001 00:00:00~~S
17674~49132~A~57920~~~~~~mg/mL~~~03-jul-2002 00:00:00~~167~S
17675~49132~E~56582~~~~~~~~~03-jul-2002 00:00:00~~~S
17676~49133~A~57920~~~~~~mg/mL~~~03-jul-2002 00:00:00~~167~S
17677~49133~A~75927~~~~~~mL/mL~~~03-jul-2002 00:00:00~23-nov-1992 00:00:00~.5~S
17678~49133~E~93224~~~~~~~~~03-jul-2002 00:00:00~14-mar-1994 00:00:00~~S
17691~49135~A~63235~~~~~~microgram/g~~~03-jul-2002 00:00:00~30-jun-2008 12:06:28~1100~S
17692~49135~E~57963~~~~~~mg/g~~~03-jul-2002 00:00:00~30-jun-2008 12:06:28~~S
17693~49135~E~55091~~~~~~mg/g~~~03-jul-2002 00:00:00~30-jun-2008 12:06:28~~S
17694~49135~E~93365~~~~~~mg/g~~~03-jul-2002 00:00:00~30-jun-2008 12:06:28~~S
17695~49135~E~54203~~~~~~mg/g~~~03-jul-2002 00:00:00~30-jun-2008 12:06:28~~S
19620~49330~A~56226~~~~~~mg/g~~~03-jul-2002 00:00:00~14-feb-1992 00:00:00~10~S
19621~49330~E~52762~~~~~~~~~03-jul-2002 00:00:00~~~S
19622~49330~E~103327~~~~~~~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~~S
19623~49330~E~57963~~~~~~~~~03-jul-2002 00:00:00~~~S
19624~49330~E~94735~~~~~~~~~03-jul-2002 00:00:00~~~S
19625~49330~E~55091~~~~~~~~~03-jul-2002 00:00:00~~~S
19626~49330~E~52476~~~~~~~~~03-jul-2002 00:00:00~~~S
19627~49330~E~93245~~~~~~~~~03-jul-2002 00:00:00~~~S
19628~49330~E~93224~~~~~~~~~03-jul-2002 00:00:00~11-oct-1994 00:00:00~~S
20198~49395~A~54690~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~42~S
20199~49395~A~56328~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~42~S
20200~49395~A~53580~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~25~S
20201~49395~A~52577~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~8.3~S
20202~49395~A~55164~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~4.2~S
20203~49395~A~85092~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~25~S
20204~49395~A~54475~~~~~~mg/g~~~03-jul-2002 00:00:00~05-jun-1991 00:00:00~1.7~S
20205~49395~E~55091~~~~~~~~~03-jul-2002 00:00:00~~~S
20206~49395~E~52354~~~~~~~~~03-jul-2002 00:00:00~~~S
20410~49415~A~54854~~~~~~mg~~~03-jul-2002 00:00:00~~250~S
20411~49415~E~55950~~~~~~mg~~~03-jul-2002 00:00:00~14-jan-2004 10:11:56~~S
20412~49415~E~54252~~~~~~mg~~~03-jul-2002 00:00:00~14-jan-2004 10:11:56~~S
20413~49415~E~54400~~~~~~mg~~~03-jul-2002 00:00:00~14-jan-2004 10:11:57~~S
20414~49415~E~55458~~~~~~mg~~~03-jul-2002 00:00:00~14-jan-2004 10:11:57~~S
20415~49415~E~93379~~~~~~mg~~~03-jul-2002 00:00:00~14-jan-2004 10:11:57~~S
21615~49565~A~55795~~~~~~mL~~~03-jul-2002 00:00:00~~30~S
21616~49565~E~56582~~~~~~~~~03-jul-2002 00:00:00~~~S
22858~49693~A~54043~~~~~~mg~~~03-jul-2002 00:00:00~~25~S
22859~49693~E~54606~~~~~~~~~03-jul-2002 00:00:00~~~S
22860~49693~E~51919~~~~~~~~~03-jul-2002 00:00:00~~~S
22861~49693~E~93285~~~~~~~~~03-jul-2002 00:00:00~~~S
22862~49693~E~54400~~~~~~~~~03-jul-2002 00:00:00~~~S
22863~49693~E~55950~~~~~~~~~03-jul-2002 00:00:00~~~S
22864~49693~E~53757~~~~~~~~~03-jul-2002 00:00:00~~~S
22865~49693~E~93379~~~~~~~~~03-jul-2002 00:00:00~~~S
22866~49693~E~52525~~~~~~~~~03-jul-2002 00:00:00~~~S
22867~49693~E~55952~~~~~~~~~03-jul-2002 00:00:00~~~S
22868~49693~E~55987~~~~~~~~~03-jul-2002 00:00:00~~~S
22869~49693~E~54252~~~~~~~~~03-jul-2002 00:00:00~~~S
22876~49695~A~62190~~~~~~~~~03-jul-2002 00:00:00~~~S
22877~49695~A~62191~~~~~~~~~03-jul-2002 00:00:00~~~S
22878~49695~A~55091~~~~~~~~~03-jul-2002 00:00:00~~~S
22879~49695~E~62192~~~~~~~~~03-jul-2002 00:00:00~~~S
22880~49695~E~93125~~~~~~~~~03-jul-2002 00:00:00~~~S
22881~49695~E~53390~~~~~~~~~03-jul-2002 00:00:00~~~S
22882~49696~A~63227~~~~~~%~~~03-jul-2002 00:00:00~~5~S
22883~49696~A~55091~~~~~~%~~~03-jul-2002 00:00:00~~63.4~S
22884~49696~E~54204~~~~~~~~~03-jul-2002 00:00:00~~~S
22885~49696~E~58379~~~~~~~~~03-jul-2002 00:00:00~~~S
22886~49696~E~62178~~~~~~~~~03-jul-2002 00:00:00~~~S
22913~49700~A~56049~~~~~~%~~~03-jul-2002 00:00:00~~7.5~S
22914~49700~A~52501~~~~~~%~~~03-jul-2002 00:00:00~~7.5~S
22915~49700~A~52939~~~~~~%~~~03-jul-2002 00:00:00~~2.5~S
22916~49700~A~55091~~~~~~%~~~03-jul-2002 00:00:00~~35.5~S
