DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
102836,02539616,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
102837,02539624,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
102838,02539632,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
102839,02539640,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
102840,02539659,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
102841,02539667,pms-methotrexate injection,methotrexate (methotrexate sodium),solution,subcutaneous,approved,18.07.2023,approved,pharmascience inc,2023,pharmascience,small molecule,HealthCanada
102847,02539721,rinvoq,upadacitinib,tablet,oral,approved,21.07.2023,approved,abbvie corporation,2023,abbvie,small molecule,HealthCanada
102849,02539756,tecvayli,teclistamab,solution,subcutaneous,approved,26.07.2023,approved,janssen inc,2023,janssen,biologics,HealthCanada
102850,02539764,tecvayli,teclistamab,solution,subcutaneous,approved,26.07.2023,approved,janssen inc,2023,janssen,biologics,HealthCanada
102854,02539802,hydralazine,hydralazine hydrochloride,tablet,oral,approved,21.07.2023,approved,sanis health inc,2023,sanis,small molecule,HealthCanada
102855,02539810,hydralazine,hydralazine hydrochloride,tablet,oral,approved,21.07.2023,approved,sanis health inc,2023,sanis,small molecule,HealthCanada
102856,02539829,hydralazine,hydralazine hydrochloride,tablet,oral,approved,21.07.2023,approved,sanis health inc,2023,sanis,small molecule,HealthCanada
102857,02539837,febuxostat,febuxostat (febuxostat hemihydrate),tablet,oral,approved,21.07.2023,approved,sanis health inc,2023,sanis,small molecule,HealthCanada
102858,02539845,omvoh,mirikizumab,solution,subcutaneous,approved,20.07.2023,approved,eli lilly canada inc,2023,eli lilly,biologics,HealthCanada
102859,02539853,omvoh,mirikizumab,solution,subcutaneous,approved,20.07.2023,approved,eli lilly canada inc,2023,eli lilly,biologics,HealthCanada
102860,02539861,omvoh,mirikizumab,solution,intravenous,approved,20.07.2023,approved,eli lilly canada inc,2023,eli lilly,biologics,HealthCanada
102861,02539888,livmarli,maralixibat (maralixibat chloride),solution,oral,approved,21.07.2023,approved,"mirum pharmaceuticals, inc.",2023,mirum,small molecule,HealthCanada
102862,02539896,coola daily protection spf 50 refreshing water hydration stick sunscreen,octisalate; octocrylene; avobenzone; homosalate,stick,topical,approved,21.07.2023,approved,coola llc,2023,coola,small molecule,HealthCanada
102863,02539918,broad spectrum spf45,octinoxate; zinc oxide,lotion,topical,approved,21.07.2023,approved,"drmtlgy, llc",2023,drmtlgy,other,HealthCanada
102864,02539926,universal tinted moisturizer spf46,zinc oxide; octinoxate,lotion,topical,approved,21.07.2023,approved,"drmtlgy, llc",2023,not reported,other,HealthCanada
102866,02539934,sogroya,somapacitan,solution,subcutaneous,approved,26.07.2023,approved,novo nordisk canada inc,2023,novo nordisk,peptides and proteins,HealthCanada
102867,02539942,sogroya,somapacitan,solution,subcutaneous,approved,26.07.2023,approved,novo nordisk canada inc,2023,novo nordisk,peptides and proteins,HealthCanada
102868,02539950,sogroya,somapacitan,solution,subcutaneous,approved,26.07.2023,approved,novo nordisk canada inc,2023,novo nordisk,peptides and proteins,HealthCanada
102870,02539977,axberi,enoxaparin sodium,solution,intravenous; subcutaneous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
102871,02539985,axberi,enoxaparin sodium,solution,intravenous; subcutaneous,approved,27.07.2023,approved,baxter corporation,2023,baxter,peptides and proteins,HealthCanada
