Non_proprietary_name,n_agencies,drug_names,has_globally_consistent_name
alemtuzumab,4,"['campath; lemtrada', 'lemtrada', 'lemtrada, remniq', 'mabcampath']",False
alendronate sodium,1,"['alendronate sodium', 'binosto', 'fosamax', 'fosamax plus d']",True
alendronic acid,1,"['alendraccord, alendrocor, pharmacor alendronate']",True
alendronic acid (alendronate sodium trihydrate); vitamin d3,1,['jamp alendronate / vitamin d3'],True
alendronic acid (alendronate sodium trihydrate); vitamin d3 (cholecalciferol),1,['fosavance'],True
alendronic acid (alendronate sodium),1,"['ach-alendronate', 'ag-alendronate', 'ag-alendronate sodium', 'alendronate', 'alendronate-70', 'apo-alendronate', 'auro-alendronate', 'fosamax', 'jamp alendronate sodium', 'm-alendronate', 'mint-alendronate', 'nra-alendronate', 'pms-alendronate-fc', 'riva-alendronate fc', 'sandoz alendronate', 'teva-alendronate']",True
alendronic acid (alendronate sodium); vitamin d3 (cholecalciferol),1,['apo-alendronate/vitamin d3'],True
alendronic acid / colecalciferol,1,"['alendronate sodium and colecalciferol, msd']",True
alfacalcidol,1,"['one-alpha', 'sandoz alfacalcidol']",True
alfentanil hydrochloride,1,['alfentanil'],True
alfuzosin hydrochloride,2,"['alfuzosin', 'alfuzosin hydrochloride', 'apo-alfuzosin', 'auro-alfuzosin', 'sandoz alfuzosin', 'uroxatral', 'xatral']",False
alglucosidase alfa,3,"['lumizyme', 'myozyme']",True
alipogene tiparvovec,1,['glybera'],True
alirocumab,5,['praluent'],True
aliskiren,2,"['enviage', 'rasilez', 'sprimeo', 'tekturna']",True
aliskiren / amlodipine,1,['rasilamlo'],True
aliskiren / amlodipine / hydrochlorothiazide,1,['rasitrio'],True
aliskiren / hydrochlorothiazide,1,['sprimeo hct'],True
aliskiren hemifumarate,1,"['aliskiren hemifumarate', 'amturnide', 'tekamlo', 'tekturna', 'tekturna hct', 'valturna']",True
aliskiren hemifumarate / hydrochlorothiazide,1,"['rasilez hct', 'riprazo hct']",True
"aliskiren, amlodipine, hydrochlorothiazide",1,['rasilamlo hct'],True
aliskiren/amlodipine,1,['rasilamlo'],True
aliskiren/hydrochlorothiazide,1,['rasilez hct/enviage hct'],True
alitretinoin,2,"['hanzema', 'panretin']",False
allergen extract - alum precipitated,1,['allergy canada allergen extract - alum precipitated'],True
allergen pollen extract of 5 grasses,1,['oralair tablet'],True
allergenic extract non-pollen,1,"['omega allergenic extracts - non-pollens (aqueous)', 'omega allergenic extracts - non-pollens (glycerinated)', 'omega allergenic extracts - non-pollens (suspal)']",True
allergenic extracts pollens,1,"['omega allergenic extracts - pollens (aqueous)', 'omega allergenic extracts - pollens (glycerinated)', 'omega allergenic extracts - pollens (suspal)']",True
allergens of peanut (arachis hypogaea),1,['palforzia'],True
allogeneic t cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (δlngfr) and the herpes simplex i virus thymidine kinase (hsv-tk mut2),1,['zalmoxis'],True
allopurinol,2,"['allopurinol', 'allopurinol-200', 'apo-allopurinol', 'duzallo', 'jamp allopurinol', 'mar-allopurinol']",False
allopurinol / lesinurad,1,['duzallo'],True
allopurinol sodium,1,"['allopurinol sodium', 'aloprim']",True
almotriptan (almotriptan malate),1,"['almotriptan', 'mylan-almotriptan', 'sandoz almotriptan', 'teva-almotriptan']",True
almotriptan malate,1,"['almotriptan malate', 'axert']",True
alogliptin,3,"['alogliptin; metformin hydrochloride', 'nesina, vipidia', 'vipidia']",False
alogliptin (alogliptin benzoate),1,['nesina'],True
alogliptin (alogliptin benzoate); metformin hydrochloride,1,['kazano'],True
alogliptin / metformin,1,['vipdomet'],True
alogliptin / pioglitazone,1,['incresync'],True
alogliptin and metformin hydrochloride,1,['alogliptin and metformin hydrochloride'],True
alogliptin benzoate,1,"['alogliptin', 'kazano', 'nesina', 'oseni']",True
alosetron hydrochloride,1,"['alosetron hydrochloride', 'lotronex']",True
alpelisib,5,"['piqray', 'vijoice']",True
alpha-1-antitrypsin,1,['infinia'],True
alpha-1-proteinase inhibitor,1,['prolastin-c'],True
alpha-tocopherol acetate,1,['infuvite adult'],True
alpha1-proteinase inhibitor (human),1,"['glassia', 'prolastin-c']",True
alprazolam,2,"['alprazolam', 'apo-alpraz', 'apo-alpraz ts', 'niravam', 'pro-alprazolam', 'xanax xr']",False
alprostadil,2,"['alprostadil', 'caverject', 'caverject impulse', 'caverject sterile powder', 'caverject sterile powder - pws 23.2mcg/vial', 'edex', 'muse']",False
alteplase,2,"['actilyse', 'cathflo']",False
alteplase; water,1,['activase rt-pa'],True
aluminum hydroxide-sucrose dried gel; simethicone; magnesium hydroxide,1,['gelusil antacid and anti-gas'],True
aluminum hydroxide; dimethicone; magnesium hydroxide,1,['almagel plus sus'],True
alvimopan,1,"['alvimopan', 'entereg']",True
amantadine hydrochloride,2,"['amantadine hydrochloride', 'gocovri', 'odan-amantadine syrup', 'osmolex er']",False
amantadine; amantadine hydrochloride,1,['amantadine; amantadine hydrochloride'],True
ambrisentan,5,"['ambrisentan', 'ambrisentan mylan', 'apo-ambrisentan', 'jamp ambrisentan', 'letairis', 'sandoz ambrisentan tablets', 'volibris']",False
amcinonide,2,"['amcinonide', 'taro-amcinonide']",False
amenamevir,1,['amenalief'],True
american house dust mite / european house dust mite,1,['actair initiation treatment and actair continuation treatment'],True
american house dust mite extract; european house dust mite extract,1,['acarizax'],True
amifampridine,4,"['amifampridine serb', 'ruzurgi', 'zenas']",False
amifampridine (amifampridine phosphate),1,['firdapse'],True
amifampridine phosphate,1,['firdapse'],True
amifostine,1,"['amifostine', 'ethyol']",True
amikacin,1,"['arikayce', 'arikayce liposomal']",True
amikacin (amikacin sulfate),1,"['amikacin sulfate injection', 'amikacin sulfate injection usp']",True
amikacin sulfate,1,"['amikacin sulfate', 'amikacin sulfate in sodium chloride 0.9% in plastic container', 'arikayce kit']",True
amiloride hydrochloride,2,"['amiloride hydrochloride', 'midamor']",False
amino acids,1,"['amino acids', 'aminosyn-hf 8%', 'clinimix 2.75/10 sulfite free in dextrose 10% in plastic container; clinimix 2.75/25 sulfite free in dextrose 25% in plastic container; clinimix 2.75/5 sulfite free in dextrose 5% in plastic container; clinimix 4.25/10 sulfite free in dextrose 10% in plastic container; clinimix 4.25/20 sulfite free in dextrose 20% in plastic container; clinimix 4.25/25 sulfite free in dextrose 25% in plastic container; clinimix 4.25/5 sulfite free in dextrose 5% in plastic container; clinimix 5/10 sulfite free in dextrose 10% in plastic container; clinimix 5/15 sulfite free in dextrose 15% in plastic container; clinimix 5/20 sulfite free in dextrose 20% in plastic container; clinimix 5/25 sulfite free in dextrose 25% in plastic container; clinimix 5/35 sulfite free in dextrose 35% in plastic container; clinimix 8/14 sulfite free in dextrose 14% in plastic container', 'clinimix e 2.75/10 sulfite free w/ elect in dextrose 10% w/ calcium in plastic container; clinimix e 2.75/25 sulfite free w/ elect in dextrose 25% w/ calcium in plastic container; clinimix e 2.75/5 sulfite free w/ elect in dextrose 5% w/ calcium in plastic container; clinimix e 4.25/10 sulfite free w/ elect in dextrose 10% w/ calcium in plastic container; clinimix e 4.25/20 sulfite free w/ elect in dextrose 20% w/ calcium in plastic container; clinimix e 4.25/25 sulfite free w/ elect in dextrose 25% w/ calcium in plastic container; clinimix e 4.25/5 sulfite free w/ elect in dextrose 5% w/ calcium in plastic container; clinimix e 5/10 sulfite free w/ elect in dextrose 10% w/ calcium in plastic container; clinimix e 5/15 sulfite free w/ elect in dextrose 15% w/ calcium in plastic container; clinimix e 5/20 sulfite free w/ elect in 20% dextrose w/ calcium in plastic container; clinimix e 5/25 sulfite free w/ elect in dextrose 25% w/ calcium in plastic container; clinimix e 5/35 sulfite free w/ elect in dextrose 35% w/ calcium in plastic container', 'clinisol 15% sulfite free in plastic container', 'hepatasol 8%', 'kabiven in plastic container; perikabiven in plastic container', 'premasol 10% in plastic container; premasol 6% in plastic container', 'prosol 20% sulfite free in plastic container', 'travasol 2.75% sulfite free w/ electrolytes in dextrose 10% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 15% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 20% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 25% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 5% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 10% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 15% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 20% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 25% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 5% in plastic container', 'travasol 3.5% sulfite free w/ electrolytes in plastic container', 'travasol 5.5% sulfite free w/ electrolytes in plastic container; travasol 8.5% sulfite free w/ electrolytes in plastic container']",True
"amino acids, lipids and glucose",1,"['periolimel n4-600e, olimel n5-860e, olimel n7-960, olimel n7-960e, olimel n9-840, olimel n9-840e']",True
aminocaproic acid,1,"['aminocaproic', 'aminocaproic acid']",True
aminolevulinic acid hcl,1,['gliolan'],True
