Non_proprietary_name,Drug_name,n_agencies_per_name,n_agencies,is_globally_consistent
acyclovir,mint-acyclovir,1,2,False
acyclovir,mylan-acyclovir,1,2,False
acyclovir,sitavig,1,2,False
acyclovir,taro-acyclovir,1,2,False
acyclovir,teva-acyclovir,1,2,False
acyclovir,xerese,1,2,False
acyclovir,zovirax,1,2,False
acyclovir (acyclovir sodium),acyclovir sodium injection,1,1,True
acyclovir sodium,acyclovir,1,1,True
acyclovir sodium,acyclovir in sodium chloride 0.9% preservative free,1,1,True
acyclovir sodium,acyclovir sodium,1,1,True
acyclovir; hydrocortisone,xerese,1,1,True
ad26.cov2.s,covid-19 vaccine janssen,1,1,True
adagrasib,krazati,2,2,True
adalimumab,abrilada,2,5,False
adalimumab,amgevita,3,5,False
adalimumab,amsparity,1,5,False
adalimumab,ardalicip/ciptunec,1,5,False
adalimumab,cyltezo,1,5,False
adalimumab,hadlima,2,5,False
adalimumab,hadlima pushtouch,1,5,False
adalimumab,halimatoz,1,5,False
adalimumab,hefiya,1,5,False
adalimumab,hukyndra,1,5,False
adalimumab,hulio,3,5,False
adalimumab,humira,4,5,False
adalimumab,hyrimoz,2,5,False
adalimumab,idacio,3,5,False
adalimumab,imraldi,1,5,False
adalimumab,kromeya,1,5,False
adalimumab,libmyris,1,5,False
adalimumab,simlandi,1,5,False
adalimumab,solymbic,1,5,False
adalimumab,yuflyma,3,5,False
adalimumab-aacf,idacio,1,1,True
adalimumab-aaty,yuflyma,1,1,True
adalimumab-adaz,hyrimoz,1,1,True
adalimumab-adbm,cyltezo,1,1,True
adalimumab-afzb,abrilada,1,1,True
adalimumab-aqvh,yusimry,1,1,True
adalimumab-atto,amjevita,1,1,True
adalimumab-bwwd,hadlima,1,1,True
adalimumab-fkjp,hulio,1,1,True
adalimumab-ryvk,simlandi,1,1,True
adapalene,adapalene,1,2,False
adapalene,adapalene and benzoyl peroxide,1,2,False
adapalene,cabtreo,1,2,False
adapalene,differin,2,2,True
adapalene,differin xp,1,2,False
adapalene,epiduo,1,2,False
adapalene,epiduo forte,1,2,False
adapalene; benzoyl peroxide,sandoz adapalene / benzoyl peroxide,1,1,True
adapalene; benzoyl peroxide,sandoz adapalene / benzoyl peroxide forte,1,1,True
adapalene; benzoyl peroxide,tactupump,1,1,True
adapalene; benzoyl peroxide,tactupump forte,1,1,True
adapalene; benzoyl peroxide,taro-adapalene/benzoyl peroxide,1,1,True
adefovir dipivoxil,adefovir dipivoxil,1,2,False
adefovir dipivoxil,hepsera,2,2,True
adenosine,adenoscan,1,2,False
adenosine,adenosine,1,2,False
adenosine,adenosine injection,1,2,False
adenovirus serotype 26 encoding the sars-cov-2 spike glycoprotein,covid-19 vaccine janssen,1,1,True
adenovirus-mediated herpes simplex virus-thymidine kinase gene,cerepro,1,1,True
ado-trastuzumab emtansine,kadcyla,1,1,True
adsorbed cell culture-derived influenza vaccine,adsorbed cell culture-derived influenza vaccine h5n1,1,1,True
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,quattrovac,1,1,True
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,tetrabik,1,1,True
adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (salk vaccine) combined vaccine,squarekids,1,1,True
adsorbed influenza vaccine,adsorbed influenza vaccine,1,1,True
adsorbed influenza vaccine (h5n1),adsorbed influenza vaccine (h5n1) “hokken”,1,1,True
aducanumab,aduhelm,1,1,True
aducanumab-avwa,aduhelm,1,1,True
afamelanotide,scenesse,3,3,True
afatinib,afatinib,1,3,False
afatinib,giotrif,2,3,False
afatinib (afatinib dimaleate),giotrif,1,1,True
afatinib (afatinib dimaleate),mar-afatinib,1,1,True
afatinib (afatinib dimaleate),sandoz afatinib,1,1,True
afatinib dimaleate,gilotrif,1,1,True
afatinib maleate,giotrif,1,1,True
aflibercept,afqlir,1,5,False
aflibercept,ahzantive,1,5,False
aflibercept,baiama,1,5,False
aflibercept,eydenzelt,1,5,False
aflibercept,eylea,5,5,True
aflibercept,eylea hd,2,5,False
aflibercept,opuviz,1,5,False
aflibercept,pavblu,1,5,False
aflibercept,skojoy,1,5,False
aflibercept,yesafili,1,5,False
aflibercept,zaltrap,1,5,False
aflibercept,"zaltrap, aflitiv, lidaveg",1,5,False
aflibercept-abzv,enzeevu,1,1,True
aflibercept-ayyh,pavblu,1,1,True
aflibercept-jbvf,yesafili,1,1,True
aflibercept-mrbb,ahzantive,1,1,True
aflibercept-yszy,opuviz,1,1,True
agalsidase alfa,replagal,2,2,True
agalsidase alfa ghu,replagal,1,1,True
agalsidase beta,fabrazyme,2,2,True
agomelatine,thymanax,1,2,False
agomelatine,valdoxan,2,2,True
air polymer-type a,exem foam kit,1,1,True
alanylglutamine,dipeptiven,1,1,True
alatrofloxacin mesylate,trovan preservative free,1,1,True
albendazole,albendazole,1,1,True
albendazole,albenza,1,1,True
albiglutide,eperzan,1,2,False
albiglutide,tanzeum,1,2,False
albumin,"albunate 5, albunate 20 and albunate 25",1,1,True
albumin (human),albumex 20/albumex 5/albumex 4,1,2,False
albumin (human),albumin (human) 25% solution usp,1,2,False
albumin (human),"albumin (human) 5% solution, usp",1,2,False
albumin (human),alburex - 25,1,2,False
albumin (human),alburex - 5,1,2,False
albumin (human),plasbumin-5,1,2,False
albumin (human),stannous maa kit,1,2,False
albumin (human),sterile diluent for allergenic extract - albumin saline with phenol,1,2,False
albumin human,optison,1,1,True
albuterol,albuterol,1,1,True
albuterol sulfate,accuneb,1,1,True
albuterol sulfate,airsupra,1,1,True
albuterol sulfate,albuterol sulfate,1,1,True
albuterol sulfate,albuterol sulfate and ipratropium bromide,1,1,True
albuterol sulfate,albuterol sulfate and ipratropium bromide; albuterol sulfate; ipratropium bromide,1,1,True
albuterol sulfate,combivent,1,1,True
albuterol sulfate,combivent respimat,1,1,True
albuterol sulfate,duoneb,1,1,True
albuterol sulfate,proair digihaler; proair respiclick,1,1,True
albuterol sulfate,proair hfa,1,1,True
albuterol sulfate,proventil-hfa,1,1,True
albuterol sulfate,ventolin hfa,1,1,True
albuterol sulfate,vospire er,1,1,True
albutrepenonacog alfa,idelvion,3,3,True
alcaftadine,alcaftadine,1,1,True
alcaftadine,lastacaft,1,1,True
alclometasone dipropionate,alclometasone dipropionate,1,1,True
alcohol,ablysinol,1,1,True
alcohol,avagard,1,1,True
aldesleukin,proleukin,1,1,True
alectinib,alecensa,2,2,True
alectinib (alectinib hydrochloride),alecensaro,1,1,True
alectinib hydrochloride,alecensa,3,3,True
alemtuzumab,campath; lemtrada,1,4,False
alemtuzumab,lemtrada,2,4,False
alemtuzumab,"lemtrada, remniq",1,4,False
alemtuzumab,mabcampath,1,4,False
alendronate sodium,alendronate sodium,1,1,True
alendronate sodium,binosto,1,1,True
alendronate sodium,fosamax,1,1,True
alendronate sodium,fosamax plus d,1,1,True
alendronic acid,"alendraccord, alendrocor, pharmacor alendronate",1,1,True
alendronic acid (alendronate sodium trihydrate); vitamin d3,jamp alendronate / vitamin d3,1,1,True
alendronic acid (alendronate sodium trihydrate); vitamin d3 (cholecalciferol),fosavance,1,1,True
alendronic acid (alendronate sodium),ach-alendronate,1,1,True
alendronic acid (alendronate sodium),ag-alendronate,1,1,True
alendronic acid (alendronate sodium),ag-alendronate sodium,1,1,True
alendronic acid (alendronate sodium),alendronate,1,1,True
alendronic acid (alendronate sodium),alendronate-70,1,1,True
alendronic acid (alendronate sodium),apo-alendronate,1,1,True
alendronic acid (alendronate sodium),auro-alendronate,1,1,True
alendronic acid (alendronate sodium),fosamax,1,1,True
alendronic acid (alendronate sodium),jamp alendronate sodium,1,1,True
alendronic acid (alendronate sodium),m-alendronate,1,1,True
alendronic acid (alendronate sodium),mint-alendronate,1,1,True
alendronic acid (alendronate sodium),nra-alendronate,1,1,True
alendronic acid (alendronate sodium),pms-alendronate-fc,1,1,True
alendronic acid (alendronate sodium),riva-alendronate fc,1,1,True
alendronic acid (alendronate sodium),sandoz alendronate,1,1,True
alendronic acid (alendronate sodium),teva-alendronate,1,1,True
alendronic acid (alendronate sodium); vitamin d3 (cholecalciferol),apo-alendronate/vitamin d3,1,1,True
alendronic acid / colecalciferol,"alendronate sodium and colecalciferol, msd",1,1,True
alfacalcidol,one-alpha,1,1,True
alfacalcidol,sandoz alfacalcidol,1,1,True
alfentanil hydrochloride,alfentanil,1,1,True
alfuzosin hydrochloride,alfuzosin,1,2,False
alfuzosin hydrochloride,alfuzosin hydrochloride,1,2,False
alfuzosin hydrochloride,apo-alfuzosin,1,2,False
alfuzosin hydrochloride,auro-alfuzosin,1,2,False
alfuzosin hydrochloride,sandoz alfuzosin,1,2,False
alfuzosin hydrochloride,uroxatral,1,2,False
alfuzosin hydrochloride,xatral,1,2,False
alglucosidase alfa,lumizyme,1,3,False
alglucosidase alfa,myozyme,3,3,True
alipogene tiparvovec,glybera,1,1,True
alirocumab,praluent,5,5,True
aliskiren,enviage,1,2,False
aliskiren,rasilez,2,2,True
aliskiren,sprimeo,1,2,False
aliskiren,tekturna,1,2,False
