Non_proprietary_name,australia,ema,fda,healthcanada,japan,swissmedic,n_unique_drug_names
amino acids,,,"['amino acids', 'aminosyn-hf 8%', 'clinimix 2.75/10 sulfite free in dextrose 10% in plastic container; clinimix 2.75/25 sulfite free in dextrose 25% in plastic container; clinimix 2.75/5 sulfite free in dextrose 5% in plastic container; clinimix 4.25/10 sulfite free in dextrose 10% in plastic container; clinimix 4.25/20 sulfite free in dextrose 20% in plastic container; clinimix 4.25/25 sulfite free in dextrose 25% in plastic container; clinimix 4.25/5 sulfite free in dextrose 5% in plastic container; clinimix 5/10 sulfite free in dextrose 10% in plastic container; clinimix 5/15 sulfite free in dextrose 15% in plastic container; clinimix 5/20 sulfite free in dextrose 20% in plastic container; clinimix 5/25 sulfite free in dextrose 25% in plastic container; clinimix 5/35 sulfite free in dextrose 35% in plastic container; clinimix 8/14 sulfite free in dextrose 14% in plastic container', 'clinimix e 2.75/10 sulfite free w/ elect in dextrose 10% w/ calcium in plastic container; clinimix e 2.75/25 sulfite free w/ elect in dextrose 25% w/ calcium in plastic container; clinimix e 2.75/5 sulfite free w/ elect in dextrose 5% w/ calcium in plastic container; clinimix e 4.25/10 sulfite free w/ elect in dextrose 10% w/ calcium in plastic container; clinimix e 4.25/20 sulfite free w/ elect in dextrose 20% w/ calcium in plastic container; clinimix e 4.25/25 sulfite free w/ elect in dextrose 25% w/ calcium in plastic container; clinimix e 4.25/5 sulfite free w/ elect in dextrose 5% w/ calcium in plastic container; clinimix e 5/10 sulfite free w/ elect in dextrose 10% w/ calcium in plastic container; clinimix e 5/15 sulfite free w/ elect in dextrose 15% w/ calcium in plastic container; clinimix e 5/20 sulfite free w/ elect in 20% dextrose w/ calcium in plastic container; clinimix e 5/25 sulfite free w/ elect in dextrose 25% w/ calcium in plastic container; clinimix e 5/35 sulfite free w/ elect in dextrose 35% w/ calcium in plastic container', 'clinisol 15% sulfite free in plastic container', 'hepatasol 8%', 'kabiven in plastic container; perikabiven in plastic container', 'premasol 10% in plastic container; premasol 6% in plastic container', 'prosol 20% sulfite free in plastic container', 'travasol 2.75% sulfite free w/ electrolytes in dextrose 10% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 15% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 20% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 25% in plastic container; travasol 2.75% sulfite free w/ electrolytes in dextrose 5% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 10% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 15% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 20% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 25% in plastic container; travasol 4.25% sulfite free w/ electrolytes in dextrose 5% in plastic container', 'travasol 3.5% sulfite free w/ electrolytes in plastic container', 'travasol 5.5% sulfite free w/ electrolytes in plastic container; travasol 8.5% sulfite free w/ electrolytes in plastic container']",,,,12
"amino acids, lipids and glucose","['periolimel n4-600e, olimel n5-860e, olimel n7-960, olimel n7-960e, olimel n9-840, olimel n9-840e']",,,,,,1
aminocaproic acid,,,"['aminocaproic', 'aminocaproic acid']",,,,2
aminolevulinic acid hcl,['gliolan'],,,,,,1
aminolevulinic acid hydrochloride,,,"['ameluz', 'gleolan', 'levulan']","['gleolan', 'levulan kerastick']",['alabel'],,5
amiodarone hydrochloride,,,"['amiodarone hydrochloride', 'cordarone', 'nexterone', 'pacerone']","['amiodarone', 'amiodarone hydrochloride for injection', 'amiodarone hydrochloride for injection, usp', 'apo-amiodarone tablets', 'dom-amiodarone', 'jamp amiodarone', 'pms-amiodarone', 'pro-amiodarone - 200', 'riva-amiodarone', 'sandoz amiodarone', 'teva-amiodarone']",,,15
amisulpride,,,['barhemsys'],,,,1
amitriptyline hydrochloride,,,"['amitriptyline hydrochloride', 'chlordiazepoxide and amitriptyline hydrochloride']","['apo-amitriptyline', 'jamp-amitriptyline', 'mar-amitriptyline', 'pms-amitriptyline']",,,6
amivantamab,['rybrevant'],['rybrevant'],,['rybrevant'],,['rybrevant'],1
amivantamab-vmjw,,,['rybrevant'],,,,1
amlexanox,,,"['amlexanox', 'aphthasol']",,,,2
amlodipine (amlodipine besylate),,,,"['ach-amlodipine', 'ag-amlodipine', 'amlodipine', 'apo-amlodipine', 'auro-amlodipine', 'bio-amlodipine', 'jamp-amlodipine', 'm-amlodipine', 'mar-amlodipine', 'mint-amlodipine', 'mylan-amlodipine', 'nra-amlodipine', 'pdp-amlodipine', 'pms-amlodipine', 'prz-amlodipine', 'riva-amlodipine', 'sandoz amlodipine', 'taro-amlodipine', 'teva-amlodipine']",,,19
amlodipine (amlodipine besylate); atorvastatin (atorvastatin calcium propylene glycol solvate),,,,['apo-amlodipine-atorvastatin'],,,1
amlodipine (amlodipine besylate); atorvastatin (atorvastatin calcium),,,,"['caduet', 'mylan-amlodipine/atorvastatin']",,,2
amlodipine (amlodipine besylate); perindopril arginine,,,,"['apo-perindopril/amlodipine', 'pms-perindopril-amlodipine', 'viacoram']",,,3
amlodipine (amlodipine besylate); telmisartan,,,,['twynsta'],,,1
amlodipine / valsartan,,['amlodipine /valsartan mylan'],,,,,1
amlodipine benzoate,,,"['amlodipine benzoate', 'katerzia']",,,,2
amlodipine besylate,,,"['amlodipine and olmesartan medoxomil', 'amlodipine besylate', 'amlodipine besylate and atorvastatin calcium', 'amlodipine besylate and benazepril hydrochloride', 'amlodipine besylate and benazepril hydrochloride; amlodipine besylate; benazepril hydrochloride', 'amlodipine besylate and valsartan', 'amlodipine besylate, valsartan and hydrochlorothiazide', 'amlodipine besylate; benazepril hydrochloride', 'azor', 'caduet', 'consensi', 'exforge', 'exforge hct', 'lotrel', 'norliqva', 'olmesartan medoxomil, amlodipine and hydrochlorothiazide', 'prestalia', 'telmisartan and amlodipine', 'tribenzor', 'twynsta']",,,,20
amlodipine besylate / valsartan / hydrochlorothiazide,,"['copalia hct', 'dafiro hct', 'exforge hct', 'imprida hct']",,,,,4
amlodipine besylate and valsartan,,"['copalia', 'exforge']",,,,,2
amlodipine maleate,,,"['amlodipine maleate; benazepril hydrochloride', 'amvaz']",,,,2
"amlodipine, valsartan, hydrochlorothiazide","['exforge hct, ejocia hct']",,,,,,1
amlodipine/valsartan,['exforge/ejocia 5/320; exforge ejocia 10/320'],,,,,,1
ammonia n-13,,,['ammonia n 13'],,,,1
ammonium chloride; codeine phosphate; diphenhydramine hydrochloride,,,,['damylin with codeine syrup'],,,1
ammonium lactate,,,"['ammonium lactate', 'lac-hydrin']",,,,2
amoxicillin,,,"['amoxicillin', 'amoxicillin and clavulanate potassium', 'amoxil', ""augmentin '200'; augmentin '400'"", ""augmentin '875'"", 'augmentin es-600', 'augmentin xr', 'dispermox', 'lansoprazole, amoxicillin and clarithromycin (copackaged)', 'moxatag', 'omeclamox-pak', 'prevpac (copackaged)', 'talicia', 'voquezna dual pak', 'voquezna triple pak']",,,,15
amoxicillin (amoxicillin sodium); clavulanic acid (clavulanate potassium),,,,['amoxicillin sodium and potassium clavulanate for injection'],,,1
amoxicillin (amoxicillin trihydrate),,,,"['ag-amoxicillin', 'amoxicillin', 'amoxicillin capsules bp', 'auro-amoxicillin', 'jamp-amoxicillin', 'pms-amoxicillin', 'prz-amoxicillin', 'sandoz amoxicillin']",,,8
amoxicillin (amoxicillin trihydrate); clavulanic acid (clavulanate potassium),,,,"['ag-amoxi clav', 'amoxicillin/clav', 'apo-amoxi clav', 'auro-amoxiclav', 'clavulin 200', 'jamp amoxi clav', 'jamp amoxi clav suspension', 'm-amoxi clav']",,,8
amphetamine,,,"['adzenys er', 'adzenys xr-odt', 'amphetamine', 'dyanavel xr', 'dyanavel xr 10; dyanavel xr 15; dyanavel xr 20; dyanavel xr 5']",,,,5
amphetamine aspartate,,,"['adderall xr 10; adderall xr 15; adderall xr 20; adderall xr 25; adderall xr 30; adderall xr 5', 'dextroamp saccharate, amp aspartate, dextroamp sulfate and amp sulfate', 'dextroamp saccharate,amp aspartate,dextroamp sulfate and amp sulfate', 'mydayis']",,,,4
amphetamine sulfate,,,"['amphetamine sulfate', 'evekeo', 'evekeo odt']",,,,3
amphotericin b,,,"['abelcet', 'ambisome', 'amphotec', 'amphotericin b']",['ambisome'],,,4
ampicillin (ampicillin sodium),,,,"['ampicillin for injection, usp', 'ampicillin sodium for injection bp']",,,2
ampicillin sodium,,,"['ampicillin and sulbactam', 'ampicillin sodium']",,,,2
ampicillin/ampicillin trihydrate,,,['ampicillin trihydrate'],,,,1
amprenavir,,,['agenerase'],,,,1
amylase; lipase; protease,,,,"['pancrease mt 20', 'viokace']",,,2
amylase; protease; lipase,,,,['creon minimicrospheres 10'],,,1
amylmetacresol; dichlorobenzyl alcohol,,,,"['antibacterial throat lozenges', ""cepacol children's fruity strawberry""]",,,2
amylmetacresol; menthol; dichlorobenzyl alcohol,,,,['cepacol sensations sore throat & cough'],,,1
anacaulase-bcdb,,,['nexobrid'],,,,1
anagliptin,,,,,['suiny'],,1
anagrelide,,['anagrelide mylan'],,,,,1
anagrelide (anagrelide hydrochloride monohydrate),,,,['pms-anagrelide'],,,1
anagrelide hydrochloride,['thromboreductin'],,"['agrylin', 'anagrelide hydrochloride']",,,,3
anagrelide hydrochloride monohydrate,,['xagrid'],,,,,1
anakinra,['kineret'],,['kineret'],['kineret'],,,1
anamorelin,,['adlumiz'],,,,,1
anamorelin hydrochloride,,,,,['adlumiz'],,1
anastrozole,,,"['anastrozole', 'arimidex']","['ach-anastrozole', 'ag-anastrozole', 'anastrozole', 'apo-anastrozole', 'arimidex', 'bio-anastrozole', 'jamp-anastrozole', 'mar-anastrozole', 'mint-anastrozole', 'nat-anastrozole', 'pms-anastrozole', 'riva-anastrozole', 'sandoz anastrozole', 'taro-anastrozole', 'teva-anastrozole']",,,15
andexanet alfa,['andexxa'],['ondexxya'],,['ondexxya'],,['ondexxya'],2
andusomeran,['spikevax xbb.1.5'],,,,,,1
anethole trithione,,,,['sialor'],,,1
angiotensin ii,,['giapreza'],,,,,1
angiotensin ii acetate,,,['giapreza'],,,,1
anidulafungin,,['ecalta'],['eraxis'],['eraxis'],,,2
anifrolumab,['saphnelo'],['saphnelo'],,['saphnelo'],,['saphnelo'],1
anifrolumab-fnia,,,['saphnelo'],,,,1
ansuvimab-zykl,,,['ebanga'],,,,1
anti-d (rh) immunoglobulin (human),,,,['winrho sdf'],,,1
anti-inhibitor coagulant complex,,,,['feiba nf'],,,1
anti-thymocyte globulin (rabbit),,,,['thymoglobulin'],,,1
antihemophilic factor (human); von willebrand factor (human),,,,['humate-p'],,,1
antihemophilic factor (human); von willebrand factor (human); human plasma proteins,,,,['wilate'],,,1
"antihemophilic factor (recombinant bdd), fc fusion protein",,,,['eloctate'],,,1
antihemophilic factor (recombinant),,,,['kovaltry'],,,1
antihemophilic factor (recombinant) porcine sequence,,,,['obizur'],,,1
"antihemophilic factor (recombinant), pegylated",,,,['adynovate'],,,1
"antihemophilic factor (recombinant, b-domain deleted, pegylated)",,,,['jivi'],,,1
"antihemophilic factor viii (recombinant, b-domain truncated), pegylated",,,,['esperoct'],,,1
antimony trisulfide,,,,['antimony sulfide colloid kit'],,,1
antithrombin alfa,,['atryn'],,,,,1
antithrombin gamma,,,,,['acoalan'],,1
antithrombin iii (human),,,,['antithrombin iii nf'],,,1
apadamtase alfa,,,,,['adzynma'],,1
apalutamide,['erlyand / janssen apalutamide'],['erleada'],"['apalutamide', 'erleada']",['erleada'],['erleada'],,3
apixaban,['eliquis'],"['apixaban accord', 'eliquis']","['apixaban', 'eliquis', 'eliquis; eliquis sprinkle']","['ach-apixaban', 'ag-apixaban', 'apixaban', 'apo-apixaban', 'auro-apixaban', 'bio-apixaban', 'eliquis', 'jamp apixaban', 'm-apixaban', 'mar-apixaban', 'mint-apixaban', 'nat-apixaban', 'nra-apixaban', 'nra-apixaban tablets', 'pro-apixaban', 'riva apixaban', 'sandoz apixaban sdz', 'taro-apixaban', 'teva-apixaban']",['eliquis'],,21
apomorphine hydrochloride,,,"['apokyn', 'apomorphine hydrochloride', 'kynmobi', 'onapgo']",,,,4
apraclonidine (apraclonidine hydrochloride),,,,['iopidine'],,,1
apraclonidine hydrochloride,,,['apraclonidine hydrochloride'],,,,1
apremilast,['otezla'],"['apremilast accord', 'otezla']","['apremilast', 'otezla']","['apo-apremilast', 'auro-apremilast', 'gln-apremilast', 'jamp apremilast', 'mint-apremilast', 'otezla', 'pms-apremilast', 'sandoz apremilast']",['otezla'],,10
aprepitant,['emend'],,"['aponvie', 'aprepitant', 'cinvanti', 'emend']","['emend', 'emend tri-pack']",,,5
aprocitentan,,['jeraygo'],['tryvio'],,,,2
aprotinin (synthetic); calcium chloride; thrombin (human); sealer protein (human),,,,['tisseel'],,,1
arbutamine hydrochloride,,,['genesa'],,,,1
arformoterol tartrate,,,"['arformoterol tartrate', 'brovana']",,,,2
argatroban,,,"['argatroban', 'argatroban in 0.9% sodium chloride', 'argatroban in dextrose', 'argatroban in sodium chloride']",['argatroban'],,,4
arginine/lysine,,['lysakare'],,,,,1
arimoclomol,,['miplyffa'],,,,,1
arimoclomol citrate,,,['miplyffa'],,,,1
aripiprazole,,"['abilify maintena', 'abilify mycite', 'aripiprazole accord', 'aripiprazole mylan', 'aripiprazole pharmathen', 'aripiprazole sandoz', 'aripiprazole zentiva']","['abilify', 'abilify asimtufii', 'abilify maintena kit', 'abilify mycite kit', 'aripiprazole', 'mezofy', 'opipza']","['abilify', 'abilify asimtufii', 'abilify maintena', 'apo-aripiprazole', 'aripiprazole', 'auro-aripiprazole', 'mint-aripiprazole', 'nra-aripiprazole', 'pms-aripiprazole', 'riva-aripiprazole', 'sandoz aripiprazole']",,,21
aripiprazole lauroxil,,,"['aristada', 'aristada initio kit']",,,,2
aripiprazole monohydrate,['abilify maintena'],,,,,,1
armodafinil,['nuvigil'],,"['armodafinil', 'nuvigil']",,,,2
arsenic trioxide,['phenasen'],"['arsenic trioxide accord', 'arsenic trioxide medac', 'arsenic trioxide mylan']","['arsenic trioxide', 'trisenox']","['arsenic trioxide for injection', 'arsenic trioxide solution for injection']",,,8
artemether,['artimist 6'],,['coartem'],,,,2
artesunate,,"['artesunate amivas', 'garsun']",['artesunate'],,,,3
articaine hydrochloride,,,"['articaine hydrochloride and epinephrine bitartrate', 'orabloc', 'septocaine', 'ultacan', 'ultacan forte']",,,,5
articaine hydrochloride; epinephrine (epinephrine bitartrate),,,,"['4% astracaine dental with epinephrine 1:200,000 (0.005mg/ml)', 'posicaine n']",,,2
articaine hydrochloride; epinephrine bitartrate,,,,"['articaine hydrochloride and epinephrine bitartrate injection', 'orabloc 1:100,000']",,,2
asciminib,['scemblix'],['scemblix'],,,,['scemblix'],1
asciminib (asciminib hydrochloride),,,,['scemblix'],,,1
asciminib hydrochloride,,,['scemblix'],,,,1
ascorbic acid,,,"['ascor', 'infuvite pediatric; infuvite pediatric (pharmacy bulk package)', 'm.v.i. adult', 'm.v.i. adult (pharmacy bulk package)', 'moviprep', 'peg-3350, sodium sulfate, sodium chloride, potassium chloride, sodium ascorbate and ascorbic acid', 'plenvu']",['ascor l 500'],,,8
ascorbic acid (ascorbic acid),,,,['vitamin c'],,,1
ascorbic acid; phenylephrine hydrochloride; pheniramine maleate; acetaminophen,,,,['hot lemon relief for symptoms of cold and flu regular strength'],,,1
asenapine,['saphris'],['sycrest'],['secuado'],,,,3
asenapine (asenapine maleate),,,,['saphris'],,,1
asenapine maleate,,,"['asenapine maleate', 'saphris']",,,,2
asfotase alfa,['strensiq'],['strensiq'],['strensiq'],['strensiq'],['strensiq'],,1
asparaginase,,['spectrila'],,,,,1
asparaginase erwinia chrysanthemi (recombinant)-rywn,,,['rylaze'],,,,1
aspirin,,,"['aggrenox', 'aspirin and dipyridamole', 'aspirin; omeprazole', 'bayer extra strength aspirin for migraine pain', 'butalbital, aspirin and caffeine', 'butalbital, aspirin, caffeine, and codeine phosphate', 'carisoprodol and aspirin', 'carisoprodol, aspirin and codeine phosphate', 'durlaza', 'hydrocodone bitartrate and aspirin', 'invagesic; invagesic forte', 'methocarbamol and aspirin', 'orphenadrine citrate, aspirin, and caffeine', 'orphengesic; orphengesic forte', 'oxycodone and aspirin', 'pravigard pac (copackaged)', 'vazalore', 'yosprala']",,,,18
aspirin + esomeprazole,['axanum'],,,,,,1
aspirin/lansoprazole,,,,,['takelda'],,1
asunaprevir,['sunvepra'],,,,['sunvepra'],,1
ataluren,,['translarna'],,,,,1
atazanavir,,"['atazanavir krka', 'atazanavir mylan']",,,,,2
atazanavir (atazanavir sulfate),,,,"['jamp atazanavir', 'mylan-atazanavir', 'reyataz', 'teva-atazanavir']",,,4
atazanavir / cobicistat,,['evotaz'],,,,,1
atazanavir sulfate,,,"['atazanavir sulfate', 'atazanavir sulfate and ritonavir', 'atazanavir sulfate; ritonavir', 'atazanavir sulfate;ritonavir;lamivudine;zidovudine', 'evotaz', 'reyataz']",,,,6
atenolol,,,"['atenolol', 'atenolol and chlorthalidone']","['ag-atenolol', 'atenolol', 'jamp-atenolol', 'mar-atenolol', 'mint-atenol', 'pms-atenolol', 'riva-atenolol', 'taro-atenolol', 'tenormin', 'teva-atenolol']",,,11
atenolol; chlorthalidone,,,,['aa-atenidone'],,,1
atezolizumab,['tecentriq'],['tecentriq'],['tecentriq'],"['tecentriq', 'tecentriq sc']",['tecentriq'],,2
atezolizumab and hyaluronidase-tqjs,,,['tecentriq hybreza'],,,,1
atidarsagene autotemcel,,,,,,['libmeldy'],1
atogepant,['aquipta'],['aquipta'],['qulipta'],['qulipta'],,['aquipta'],2
atoltivimab,,,['inmazeb'],,,,1
atomoxetine (atomoxetine hydrochloride),,,,"['apo-atomoxetine', 'atomoxetine', 'auro-atomoxetine', 'jamp atomoxetine', 'pms-atomoxetine', 'riva-atomoxetine', 'sandoz atomoxetine', 'teva-atomoxetine']",,,8
atomoxetine hydrochloride,,,"['atomoxetine hydrochloride', 'strattera']",,,,2
atorvastatin (atorvastatin calcium propylene glycol solvate),,,,"['apo-atorvastatin', 'atorvastatin', 'atorvastatin-10', 'atorvastatin-20', 'atorvastatin-40', 'atorvastatin-80']",,,6
atorvastatin (atorvastatin calcium propylene glycol solvate); amlodipine (amlodipine besylate),,,,['apo-amlodipine-atorvastatin'],,,1
atorvastatin (atorvastatin calcium),,,,"['ach-atorvastatin calcium', 'atorvastatin', 'auro-atorvastatin', 'bio-atorvastatin', 'jamp atorvastatin calcium', 'jamp-atorvastatin', 'lipitor', 'm-atorvastatin', 'mar-atorvastatin', 'mint-atorvastatin', 'mylan-atorvastatin', 'nra-atorvastatin', 'pmsc-atorvastatin', 'prz-atorvastatin', 'riva-atorvastatin', 'sandoz atorvastatin', 'taro-atorvastatin', 'teva-atorvastatin']",,,18
atorvastatin (atorvastatin calcium); amlodipine (amlodipine besylate),,,,"['caduet', 'mylan-amlodipine/atorvastatin']",,,2
atorvastatin calcium,,,"['atorvaliq', 'atorvastatin calcium', 'lipitor', 'liptruzet', 'lypqozet']",,,,5
atosiban,,['atosiban sun'],,,,,1
atovaquone,,,"['atovaquone', 'atovaquone and proguanil hydrochloride', 'malarone; malarone pediatric', 'mepron']","['gln-atovaquone', 'mepron']",,,5
atovaquone; proguanil hydrochloride,,,,"['atovaquone proguanil', 'malarone', 'malarone pediatric']",,,3
atracurium besylate,,,"['atracurium besylate', 'atracurium besylate preservative free']",,,,2
atrasentan hydrochloride,,,['vanrafia'],,,,1
atropine,,,"['atnaa', 'atropine (autoinjector)', 'duodote']",,,,3
atropine sulfate,,,"['atropine sulfate', 'diphenoxylate hydrochloride and atropine sulfate', 'isopto atropine']","['atropine injection bp', 'atropine sulfate injection', 'minims atropine sulphate']",,,6
autologous anti-cd19-transduced cd3+ cells,,['tecartus'],,,,,1
autologous cd34+ cell encoding arsa gene,,['libmeldy'],,,,,1
autologous cd34+ enriched cell fraction that contains cd34+ cells transduced with retroviral vector that encodes for the human ada cdna sequence,,['strimvelis'],,,,,1
"autologous glioma tumor cells, inactivated / autologous glioma tumor cell lysates, inactivated / allogeneic glioma tumor cells, inactivated / allogeneic glioma tumor cell lysates, inactivated",,['sitoiganap'],,,,,1
autologous peripheral blood mononuclear cells activated with pap-gm-csf (sipuleucel-t),,['provenge'],,,,,1
avacincaptad pegol sodium,,,['izervay'],,,,1
