Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,MARKETED,88703,APPROVED,22.02.2013,2013,MYLAN-ATOVAQUONE/PROGUANIL,MYLAN PHARMACEUTICALS ULC,Mylan,02402165,PROGUANIL HYDROCHLORIDE; ATOVAQUONE,Small molecule,TABLET,88703,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88703
ORAL,MARKETED,88705,MARKETED,27.02.2013,2013,PMS-COLCHICINE,PHARMASCIENCE INC,Pharmascience,02402181,COLCHICINE,Small molecule,TABLET,88705,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88705
ORAL,MARKETED,88721,APPROVED,26.02.2013,2013,MINT-SERTRALINE,MINT PHARMACEUTICALS INC,MINT,02402378,SERTRALINE (SERTRALINE HYDROCHLORIDE),Small molecule,CAPSULE,88721,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88721
ORAL,MARKETED,88722,APPROVED,26.02.2013,2013,MINT-SERTRALINE,MINT PHARMACEUTICALS INC,Mint,02402394,SERTRALINE (SERTRALINE HYDROCHLORIDE),Small molecule,CAPSULE,88722,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88722
ORAL,MARKETED,88723,APPROVED,26.02.2013,2013,MINT-SERTRALINE,MINT PHARMACEUTICALS INC,MINT,02402408,SERTRALINE (SERTRALINE HYDROCHLORIDE),Small molecule,CAPSULE,88723,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88723
ORAL,MARKETED,88725,APPROVED,26.02.2013,2013,RIVA-OMEPRAZOLE DR,LABORATOIRE RIVA INC.,Riva,02402416,OMEPRAZOLE (OMEPRAZOLE MAGNESIUM),Small molecule,TABLET (DELAYED-RELEASE),88725,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88725
ORAL,MARKETED,88726,APPROVED,22.02.2013,2013,PMS-TETRABENAZINE,PHARMASCIENCE INC,Pharmascience,02402424,TETRABENAZINE,Small molecule,TABLET,88726,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88726
SUBCUTANEOUS,MARKETED,88731,APPROVED,21.02.2013,2013,ORENCIA,BRISTOL-MYERS SQUIBB CANADA,Bristol-Myers Squibb,02402475,ABATACEPT,Biologics,SOLUTION,88731,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88731
ORAL,MARKETED,88737,APPROVED,22.02.2013,2013,MAR-SILDENAFIL,MARCAN PHARMACEUTICALS INC,Marcan,02402548,SILDENAFIL (SILDENAFIL CITRATE),Small molecule,TABLET,88737,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88737
ORAL,MARKETED,88746,APPROVED,12.03.2013,2013,TARO-LANSOPRAZOLE,SUN PHARMA CANADA INC,Sun,02402610,LANSOPRAZOLE,Small molecule,CAPSULE (DELAYED RELEASE),88746,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=88746
