DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year
69769,02245669,APO-SALBUTAMOL HFA,SALBUTAMOL (SALBUTAMOL SULFATE),METERED-DOSE AEROSOL,INHALATION,APPROVED,21.03.2002,MARKETED,APOTEX INC,2002
69776,02245676,ESTRADOT 25,ESTRADIOL,PATCH,TRANSDERMAL,APPROVED,03.04.2002,MARKETED,SANDOZ CANADA INCORPORATED,2002
69789,02245688,RATIO-TOPISALIC,BETAMETHASONE (BETAMETHASONE DIPROPIONATE); SALICYLIC ACID,LOTION,TOPICAL,APPROVED,29.04.2002,MARKETED,TEVA CANADA LIMITED,2002
69790,02245689,LANTUS,INSULIN GLARGINE,SOLUTION,SUBCUTANEOUS,APPROVED,03.04.2002,MARKETED,SANOFI-AVENTIS CANADA INC,2002
69814,02245710,"BENYLIN EXTRA STRENGTH ALL-IN-ONE COUGH, COLD & FLU",PSEUDOEPHEDRINE HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE; ACETAMINOPHEN; GUAIFENESIN,SYRUP,ORAL,MARKETED,03.07.2003,MARKETED,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,2003
69848,02245741,ANTISEPTIC BODY CLEANSER,CHLORHEXIDINE GLUCONATE,WIPE,TOPICAL,MARKETED,14.02.2006,MARKETED,SAGE PRODUCTS LLC,2006
69890,02245777,VALCYTE,VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE),TABLET,ORAL,APPROVED,03.05.2002,MARKETED,CHEPLAPHARM ARZNEIMITTEL GMBH,2002
69937,02245821,KETOROLAC,KETOROLAC TROMETHAMINE,SOLUTION,OPHTHALMIC,APPROVED,27.05.2002,MARKETED,AA PHARMA INC,2002
69944,02245828,CLASTEON,CLODRONATE DISODIUM,CAPSULE,ORAL,APPROVED,01.05.2002,MARKETED,"SUMITOMO PHARMA CANADA, INC.",2002
69976,02245859,CATHFLO,ALTEPLASE,POWDER FOR SOLUTION,INSTILLATION,APPROVED,10.05.2002,MARKETED,HOFFMANN-LA ROCHE LIMITED,2002
69984,02245867,GRAVOL LIQUID GELS,DIMENHYDRINATE,CAPSULE,ORAL,MARKETED,23.09.2002,MARKETED,CHURCH & DWIGHT CANADA CORP,2002
69988,02245871,COMFORT SHIELD,DIMETHICONE,WIPE,TOPICAL,MARKETED,10.12.2004,MARKETED,SAGE PRODUCTS LLC,2004
69999,02245882,METHAZOLAMIDE,METHAZOLAMIDE,TABLET,ORAL,APPROVED,28.05.2002,MARKETED,AA PHARMA INC,2002
70015,02245898,CYPROTERONE,CYPROTERONE ACETATE,TABLET,ORAL,APPROVED,04.09.2002,MARKETED,AA PHARMA INC,2002
70033,02245913,KINERET,ANAKINRA,SOLUTION,SUBCUTANEOUS,APPROVED,24.05.2002,MARKETED,SWEDISH ORPHAN BIOVITRUM AB (PUBL),2002
70034,02245914,PMS-CARVEDILOL,CARVEDILOL,TABLET,ORAL,APPROVED,01.08.2003,MARKETED,PHARMASCIENCE INC,2003
