Origin,Marketing authorisation Number,Drug name,Non proprietary name,Marketing authorisation holder/ applicant,Pharmaceutical form,Administration route,Decision,Decision date,Current status,Non-clinical abridge,Referral
FDA,ANDA090547,VORICONAZOLE,VORICONAZOLE,MYLAN PHARMS INC,TABLET,ORAL,Approved,22.04.2010,authorised,yes,No
FDA,ANDA090554,DIVALPROEX SODIUM,DIVALPROEX SODIUM,AUROBINDO PHARMA LTD,"TABLET, DELAYED RELEASE",ORAL,Approved,21.04.2011,authorised,yes,No
FDA,ANDA090557,ALENDRONATE SODIUM,ALENDRONATE SODIUM,JUBILANT CADISTA,TABLET,ORAL,Approved,18.02.2010,Discontinued,yes,No
FDA,ANDA090561,ZIDOVUDINE,ZIDOVUDINE,CIPLA,TABLET,ORAL,Approved,27.10.2010,authorised,yes,No
FDA,ANDA090564,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,GRANULES INDIA,TABLET,ORAL,Approved,22.04.2010,authorised,yes,No
FDA,ANDA090571,HEPARIN SODIUM,HEPARIN SODIUM,HOSPIRA INC,INJECTABLE,INJECTION,Approved,31.08.2009,authorised,yes,No
FDA,NDA018766,ANSAID,FLURBIPROFEN,PHARMACIA AND UPJOHN,TABLET,ORAL,Approved,31.10.1988,Discontinued,no,Yes
FDA,ANDA090572,CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY; CHILDREN'S CETIRIZINE HYDROCHLORIDE HIVES RELIEF,CETIRIZINE HYDROCHLORIDE,TRIS PHARMA INC,SOLUTION,ORAL,Approved,16.11.2012,Discontinued,yes,No
FDA,ANDA090575,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,AMNEAL PHARMS,SYRUP,ORAL,Approved,08.02.2011,authorised,yes,No
FDA,ANDA090581,AMPICILLIN SODIUM,AMPICILLIN SODIUM,SAGENT PHARMS INC,INJECTABLE,INJECTION,Approved,20.10.2015,authorised,yes,No
FDA,ANDA090582,NAFCILLIN SODIUM,NAFCILLIN SODIUM,SAGENT PHARMS,INJECTABLE,INJECTION,Approved,24.08.2012,authorised,yes,No
FDA,ANDA090585,ORPHENADRINE CITRATE,ORPHENADRINE CITRATE,SAGENT PHARMS,INJECTABLE,INJECTION,Approved,30.08.2011,authorised,yes,No
FDA,ANDA090595,FLUVASTATIN SODIUM,FLUVASTATIN SODIUM,MYLAN PHARMS INC,CAPSULE,ORAL,Approved,11.04.2012,authorised,yes,No
FDA,ANDA090612,CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,NATCO PHARMA LTD,TABLET,ORAL,Approved,21.01.2011,authorised,yes,No
FDA,ANDA090625,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,ANI PHARMS,TABLET,ORAL,Approved,17.05.2012,Discontinued,yes,No
FDA,ANDA090631,CARBIDOPA AND LEVODOPA,CARBIDOPA,IMPAX LABS,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,08.06.2010,Discontinued,yes,No
FDA,ANDA090637,ALLOPURINOL,ALLOPURINOL,IPCA LABS LTD,TABLET,ORAL,Approved,16.03.2011,Discontinued,yes,No
FDA,BLA018780,HUMULIN R; HUMULIN R KWIKPEN; HUMULIN R PEN,INSULIN HUMAN; INSULIN RECOMBINANT HUMAN,LILLY,INJECTABLE; SOLUTION,INJECTION; SUBCUTANEOUS,Approved,28.10.1982,authorised,no,No
FDA,ANDA090664,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,RK PHARMA,INJECTABLE,INJECTION,Approved,17.11.2009,authorised,yes,No
FDA,ANDA090671,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,WOCKHARDT,INJECTABLE,INJECTION,Approved,17.11.2009,authorised,yes,No
FDA,ANDA090699,LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,GLAND PHARMA LTD,INJECTABLE,INJECTION,Approved,03.04.2012,authorised,yes,No
FDA,ANDA090726,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,16.09.2009,authorised,yes,No
FDA,ANDA090728,DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,ZYDUS PHARMS,"CAPSULE, DELAYED REL PELLETS",ORAL,Approved,08.01.2014,authorised,yes,No
FDA,ANDA090761,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,HOSPIRA INC,INJECTABLE,INJECTION,Approved,18.10.2012,authorised,yes,No
FDA,ANDA090762,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,JUBILANT CADISTA,CAPSULE,ORAL,Approved,15.12.2014,Discontinued,yes,No
FDA,NDA018794,COLD CAPSULE V,CHLORPHENIRAMINE MALEATE,GRAHAM DM,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,23.04.1985,Discontinued,no,No
FDA,NDA018796,PILOPINE HS,PILOCARPINE HYDROCHLORIDE,ALCON,GEL,OPHTHALMIC,Approved,01.10.1984,Discontinued,no,No
FDA,ANDA090809,HEPARIN SODIUM,HEPARIN SODIUM,SAGENT PHARMS,INJECTABLE,INJECTION,Approved,30.06.2010,authorised,yes,No
FDA,ANDA090819,BUPRENORPHINE HYDROCHLORIDE,BUPRENORPHINE HYDROCHLORIDE,ACTAVIS ELIZABETH,TABLET,SUBLINGUAL,Approved,19.02.2015,authorised,yes,No
FDA,ANDA090841,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,ETHYPHARM,"CAPSULE, DELAYED REL PELLETS",ORAL,Approved,31.03.2021,authorised,yes,No
FDA,ANDA090844,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,TORRENT PHARMS LTD,TABLET,ORAL,Approved,17.05.2012,authorised,yes,No
FDA,ANDA090854,EPTIFIBATIDE,EPTIFIBATIDE,TEVA PHARMS USA,INJECTABLE,INJECTION,Approved,12.06.2015,authorised,yes,No
FDA,ANDA090873,CLONIDINE,CLONIDINE,ACTAVIS LABS UT INC,SYSTEM,TRANSDERMAL,Approved,06.05.2014,authorised,yes,No
FDA,ANDA090876,LEVETIRACETAM,LEVETIRACETAM,FRESENIUS KABI USA,INJECTABLE,INTRAVENOUS,Approved,13.08.2015,authorised,yes,No
FDA,ANDA090878,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE,APOTEX,TABLET,ORAL,Approved,23.09.2011,Discontinued,yes,No
FDA,NDA018804,AMINOSYN 3.5% IN PLASTIC CONTAINER; AMINOSYN 3.5% M IN PLASTIC CONTAINER,AMINO ACIDS,ABBOTT,INJECTABLE,INJECTION,,,Discontinued,no,No
FDA,ANDA090919,EPINASTINE HYDROCHLORIDE,EPINASTINE HYDROCHLORIDE,APOTEX,SOLUTION/DROPS,OPHTHALMIC,Approved,31.10.2011,authorised,yes,No
FDA,ANDA090939,ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,TORRENT PHARMS LTD,TABLET,ORAL,Approved,11.09.2012,authorised,yes,No
FDA,NDA018812,SULFAMETHOXAZOLE AND TRIMETHOPRIM,SULFAMETHOXAZOLE,TEVA,SUSPENSION,ORAL,Approved,28.01.1983,Discontinued,no,No
FDA,ANDA090942,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,AUROBINDO PHARMA USA,"TABLET, EXTENDED RELEASE",ORAL,Approved,14.07.2010,Discontinued,yes,No
FDA,ANDA090956,BUTALBITAL AND ACETAMINOPHEN,ACETAMINOPHEN,LGM PHARMA,TABLET,ORAL,Approved,23.08.2011,authorised,yes,No
FDA,ANDA090988,CARISOPRODOL,CARISOPRODOL,NATCO,TABLET,ORAL,Approved,28.10.2014,authorised,yes,No
FDA,NDA008453,ANECTINE,SUCCINYLCHOLINE CHLORIDE,SANDOZ,INJECTABLE,INJECTION,Approved,20.08.1952,authorised,no,No; Yes
FDA,ANDA091024,ESZOPICLONE,ESZOPICLONE,DR REDDYS,TABLET,ORAL,Approved,15.04.2014,authorised,yes,No
FDA,ANDA091025,PREGABALIN,PREGABALIN,ACTAVIS ELIZABETH,CAPSULE,ORAL,Approved,09.07.2020,Discontinued,yes,No
FDA,NDA018821,REGLAN,METOCLOPRAMIDE HYDROCHLORIDE,ROBINS AH,SOLUTION,ORAL,Approved,25.03.1983,Discontinued,no,Yes
FDA,ANDA091027,LITHIUM CARBONATE,LITHIUM CARBONATE,SUN PHARM INDS INC,TABLET,ORAL,Approved,24.06.2010,authorised,yes,No
FDA,NDA018823,FUROSEMIDE,FUROSEMIDE,HIKMA,TABLET,ORAL,Approved,10.11.1983,authorised,no,No
FDA,NDA018826,DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOPAMINE HYDROCHLORIDE,HOSPIRA,INJECTABLE,INJECTION,Approved,30.09.1983,authorised,no,Yes
FDA,ANDA091084,TELMISARTAN; HYDROCHLOROTHIAZIDE,TELMISARTAN,WATSON LABS FLORIDA,TABLET,ORAL,Tentative Approval,15.09.2011,None (Tentative Approval),yes,No
FDA,ANDA091086,BRIMONIDINE TARTRATE AND TIMOLOL MALEATE,BRIMONIDINE TARTRATE,SENTISS,SOLUTION/DROPS,OPHTHALMIC,Approved,31.10.2022,authorised,yes,No
FDA,ANDA091093,LEVETIRACETAM,LEVETIRACETAM,ACTAVIS LABS FL INC,"TABLET, EXTENDED RELEASE",ORAL,Approved,12.09.2011,authorised,yes,No
FDA,ANDA091115,ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,TAMARANG,INJECTABLE,INJECTION,Approved,27.08.2012,authorised,yes,No
FDA,ANDA091136,GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,MYLAN ASI,INJECTABLE,INJECTION,Approved,09.04.2010,authorised,yes,No
FDA,ANDA091153,ESZOPICLONE,ESZOPICLONE,HIKMA,TABLET,ORAL,Approved,15.04.2014,Discontinued,yes,No
FDA,NDA018833,LITHANE,LITHIUM CARBONATE,BAYER PHARMS,TABLET,ORAL,Approved,18.07.1985,Discontinued,no,No
FDA,ANDA091168,EMTRICITABINE,EMTRICITABINE,CIPLA,CAPSULE,ORAL,Approved,02.07.2018,authorised,yes,No
FDA,ANDA091174,CALCITRIOL,CALCITRIOL,BIONPHARMA,CAPSULE,ORAL,Approved,24.05.2013,authorised,yes,No
FDA,ANDA091186,ZOLEDRONIC ACID,ZOLEDRONIC ACID,DR REDDYS LABS LTD,INJECTABLE,INTRAVENOUS,Approved,04.03.2013,authorised,yes,No
