MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
NDA021994,1 INDICATIONS AND USAGE TRAVATAN Z ® (travoprost ophthalmic solution) 0.004% is indicated for the reduction of elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension. TRAVATAN Z is a prostaglandin analog indicated for the reduction of elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension (1),FDA,TRAVATAN Z,TRAVOPROST,SANDOZ,SOLUTION/DROPS,OPHTHALMIC,Approved,21.09.2006,2006,authorised,no,Yes,No
NDA021995,"1 INDICATIONS AND USAGE JANUVIA ® is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JANUVIA is a dipeptidyl peptidase-4 (DPP-4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: JANUVIA should not be used in patients with type 1 diabetes ( 1 ) JANUVIA has not been studied in patients with a history of pancreatitis. ( 1 , 5.1 ) Limitations of Use JANUVIA should not be used in patients with type 1 diabetes. JANUVIA has not been studied in patients with a history of pancreatitis. It is unknown whether patients with a history of pancreatitis are at increased risk for the development of pancreatitis while using JANUVIA. [See Warnings and Precautions (5.1) .]",FDA,JANUVIA,SITAGLIPTIN PHOSPHATE,MERCK SHARP DOHME,TABLET,ORAL,Approved,16.10.2006,2006,authorised,no,Yes,No
NDA021996,,FDA,ALAWAY; CHILDREN'S ALAWAY,KETOTIFEN FUMARATE,BAUSCH AND LOMB,SOLUTION/DROPS,OPHTHALMIC,Approved,01.12.2006,2006,authorised,no,Yes,No
NDA021997,,FDA,EDLUAR,ZOLPIDEM TARTRATE,VIATRIS,TABLET,SUBLINGUAL,Approved,13.03.2009,2009,authorised,no,Yes,No
NDA021998,,FDA,PLAN B ONE-STEP,LEVONORGESTREL,FDN CONSUMER,TABLET,ORAL,Approved,10.07.2009,2009,authorised,no,Yes,No
NDA021999,"1 INDICATIONS AND USAGE INVEGA is an atypical antipsychotic agent indicated for Treatment of schizophrenia ( 1.1 ) Adults: Efficacy was established in three 6-week trials and one maintenance trial. ( 14.1 ) Adolescents (ages 12–17): Efficacy was established in one 6-week trial. ( 14.1 ) Treatment of schizoaffective disorder as monotherapy and as an adjunct to mood stabilizers and/or antidepressants. ( 1.2 ) Efficacy was established in two 6-week trials in adult patients. ( 14.2 ) 1.1 Schizophrenia INVEGA (paliperidone) Extended-Release Tablets are indicated for the treatment of schizophrenia [see Clinical Studies (14.1) ] . The efficacy of INVEGA in schizophrenia was established in three 6-week trials in adults and one 6-week trial in adolescents, as well as one maintenance trial in adults. 1.2 Schizoaffective Disorder INVEGA (paliperidone) Extended-Release Tablets are indicated for the treatment of schizoaffective disorder as monotherapy and an adjunct to mood stabilizers and/or antidepressant therapy [see Clinical Studies (14.2) ] . The efficacy of INVEGA in schizoaffective disorder was established in two 6-week trials in adults.",FDA,INVEGA,PALIPERIDONE,JANSSEN PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Approved,19.12.2006,2006,authorised,no,Yes,No
NDA022000,,FDA,LIALDA,MESALAMINE,TAKEDA PHARMS USA,"TABLET, DELAYED RELEASE",ORAL,Approved,16.01.2007,2007,authorised,no,Yes,No
NDA022001,,FDA,ACTIVELLA,ESTRADIOL,NOVO NORDISK INC,TABLET,ORAL,Approved,29.12.2006,2006,authorised,no,No,No
NDA022003,"1 INDICATIONS AND USAGE Noxafil is an azole antifungal indicated as follows: Noxafil injection and Noxafil delayed-release tablets are indicated for the treatment of invasive aspergillosis in adults and pediatric patients 13 years of age and older. ( 1.1 ) Noxafil is indicated for the prophylaxis of invasive Aspergillus and Candida infections in patients who are at high risk of developing these infections due to being severely immunocompromised, such as hematopoietic stem cell transplant (HSCT) recipients with graft-versus-host disease (GVHD) or those with hematologic malignancies with prolonged neutropenia from chemotherapy as follows: ( 1.2 ) Noxafil injection: adults and pediatric patients 2 years of age and older Noxafil delayed-release tablets: adults and pediatric patients 2 years of age and older who weigh greater than 40 kg Noxafil oral suspension: adults and pediatric patients 13 years of age and older Noxafil PowderMix for delayed-release oral suspension: pediatric patients 2 years of age and older who weigh 40 kg or less Noxafil oral suspension is indicated for the treatment of oropharyngeal candidiasis (OPC), including OPC refractory (rOPC) to itraconazole and/or fluconazole in adult and pediatric patients aged 13 years and older. ( 1.3 ) 1.1 Treatment of Invasive Aspergillosis Noxafil ® injection and Noxafil delayed-release tablets are indicated for the treatment of invasive aspergillosis in adults and pediatric patients 13 years of age and older. 1.2 Prophylaxis of Invasive Aspergillus and Candida Infections Noxafil is indicated for the prophylaxis of invasive Aspergillus and Candida infections in patients who are at high risk of developing these infections due to being severely immunocompromised, such as hematopoietic stem cell transplant (HSCT) recipients with graft-versus-host disease (GVHD) or those with hematologic malignancies with prolonged neutropenia from chemotherapy [see Clinical Studies (14.1) ] as follows: Noxafil injection: adults and pediatric patients 2 years of age and older Noxafil delayed-release tablets: adults and pediatric patients 2 years of age and older who weigh greater than 40 kg Noxafil oral suspension: adults and pediatric patients 13 years of age and older Noxafil PowderMix for delayed-release oral suspension: pediatric patients 2 years of age and older who weigh 40 kg or less 1.3 Treatment of Oropharyngeal Candidiasis Including Oropharyngeal Candidiasis Refractory to Itraconazole and/or Fluconazole Noxafil oral suspension is indicated for the treatment of oropharyngeal candidiasis, including oropharyngeal candidiasis refractory to itraconazole and/or fluconazole in adults and pediatric patients 13 years of age and older.",FDA,NOXAFIL,POSACONAZOLE,SCHERING,SUSPENSION,ORAL,Approved,15.09.2006,2006,authorised,no,Yes,No
NDA022004,,FDA,OMNARIS,CICLESONIDE,COVIS,"SPRAY, METERED",NASAL,Approved,20.10.2006,2006,authorised,no,Yes,No
