,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
21109,ANDA216414,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,AUROBINDO PHARMA,TABLET,ORAL,Approved,16.07.2024,2024.0,Discontinued,yes,No,Aurobindo,Peptides and proteins,,,,,,,,,,,No,FDA
21110,ANDA216418,MERCAPTOPURINE,MERCAPTOPURINE,HIKMA,SUSPENSION,ORAL,Approved,26.02.2025,2025.0,authorised,yes,No,Hikma,Small molecule,,,,,,,,,,,No,FDA
21111,ANDA216419,CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,AUROBINDO PHARMA LTD,CAPSULE,ORAL,Approved,14.09.2023,2023.0,authorised,yes,No,Aurobindo,Small molecule,Mental and behavioural disorders; Diseases of the digestive system,<Peptic Ulcer>; <Irritable Bowel Syndrome>; <Enterocolitis>,<Peptic Ulcer>; <Irritable Bowel Syndrome>; <Enterocolitis>,,,,"INDICATIONS AND USAGE: Chlordiazepoxide hydrochloride and clidinium bromide capsules are indicated to control emotional and somatic factors in gastrointestinal disorders. Chlordiazepoxide hydrochloride and clidinium bromide capsules may also be used as adjunctive therapy in the treatment of peptic ulcer and in the treatment of the irritable bowel syndrome (irritable colon, spastic colon, mucous colitis) and acute enterocolitis.",,,,No,FDA
21112,ANDA216420,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,MICRO LABS,INJECTABLE,INJECTION,Approved,07.07.2023,2023.0,authorised,yes,No,Micro,Small molecule,,,,,,,,,,,No,FDA
21113,ANDA216421,AZELASTINE HYDROCHLORIDE ALLERGY; AZELASTINE HYDROCHLORIDE CHILDREN'S ALLERGY,AZELASTINE HYDROCHLORIDE,APOTEX,spray,NASAL,Approved,29.05.2024,2024.0,authorised,yes,No,Apotex,Small molecule,,,,,,,,,,,No,FDA
21114,ANDA216422,DIAZEPAM,DIAZEPAM,GALENICUM HLTH,INJECTABLE,INJECTION,Approved,19.05.2025,2025.0,authorised,yes,No,Galenicum,Small molecule,,,,,,,,,,,No,FDA
21115,ANDA216424,MEROPENEM,MEROPENEM,QILU,INJECTABLE,INJECTION,Approved,22.07.2024,2024.0,authorised,yes,No,Not Reported,Small molecule,Infectious and parasitic diseases; Diseases of the skin; Diseases of the digestive system; Diseases of the nervous system,<Complicated Skin and Skin Structure Infections>; <Complicated Intra-abdominal Infections>; <Bacterial Meningitis>,<Complicated Skin and Skin Structure Infections>; <Complicated Intra-abdominal Infections>; <Bacterial Meningitis>,,,,"1 INDICATIONS AND USAGE Meropenem for injection is a penem antibacterial indicated for the treatment of: Complicated skin and skin structure infections (adult patients and pediatric patients 3 months of age and older only). ( 1.1 ) Complicated intra-abdominal infections (adult and pediatric patients). ( 1.2 ) Bacterial meningitis (pediatric patients 3 months of age and older only). ( 1.3 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of meropenem for injection and other antibacterial drugs, meropenem for injection should only be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. 1.1 Complicated Skin and Skin Structure Infections (Adult Patients and Pediatric Patients 3 Months of Age and Older Only) Meropenem for injection is indicated for the treatment of complicated skin and skin structure infections (cSSSI) due to Staphylococcus aureus (methicillin-susceptible isolates only), Streptococcus pyogenes, Streptococcus agalactiae , viridans group streptococci, Enterococcus faecalis (vancomycin-susceptible isolates only), Pseudomonas aeruginosa, Escherichia coli, Proteus mirabilis, Bacteroides fragilis, and Peptostreptococcus species. 1.2 Complicated Intra-abdominal Infections (Adult and Pediatric Patients) Meropenem for injection is indicated for the treatment of complicated appendicitis and peritonitis caused by viridans group streptococci, Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Bacteroides fragilis, B. thetaiotaomicron, and Peptostreptococcus species. 1.3 Bacterial Meningitis (Pediatric Patients 3 Months of Age and Older Only) Meropenem for injection is indicated for the treatment of bacterial meningitis caused by Haemophilus influenzae, Neisseria meningitidis and penicillin-susceptible isolates of Streptococcus pneumoniae. Meropenem for injection has been found to be effective in eliminating concurrent bacteremia in association with bacterial meningitis. 1.4 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of meropenem for injection and other antibacterial drugs, meropenem for injection should only be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",,,,No,FDA
21116,ANDA216426,FORMOTEROL FUMARATE,FORMOTEROL FUMARATE,LEXENPHARM,SOLUTION,INHALATION,Approved,22.10.2024,2024.0,authorised,yes,No,Lexenpharm,Small molecule,,,,,,,,,,,No,FDA
21117,ANDA216427,FAMOTIDINE,FAMOTIDINE,AMNEALS PHARMS,suspension,ORAL,Approved,04.08.2022,2022.0,authorised,yes,No,Amneal,Small molecule,,,,,,,,,,,No,FDA
21118,ANDA216431,,,SANDOZ INC,,,conditional marketing authorisation,26.10.2023,2023.0,None (conditional marketing authorisation),yes,No,Sandoz,,,,,,,,,,,,,FDA
21119,ANDA216434,BUMETANIDE,BUMETANIDE,GLAND,INJECTABLE,INJECTION,Approved,26.05.2022,2022.0,authorised,yes,No,Gland,Small molecule,,,,,,,,,,,No,FDA
21120,ANDA216435,EDETATE CALCIUM DISODIUM,EDETATE CALCIUM DISODIUM,CASPER PHARMA LLC,INJECTABLE,INJECTION,Approved,03.05.2023,2023.0,authorised,yes,No,Casper,Small molecule,"Injury, poisoning and certain other consequences of external causes; Diseases of the nervous system",<Lead Poisoning>; <Lead Encephalopathy>,<Lead Poisoning>; <Lead Encephalopathy>,,,,"INDICATIONS AND USAGE Edetate calcium disodium is indicated for the reduction of blood levels and depot stores of lead in lead poisoning (acute and chronic) and lead encephalopathy, in both pediatric populations and adults. Chelation therapy should not replace effective measures to eliminate or reduce further exposure to lead.",,,,No,FDA
21121,ANDA216436,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,BIOCON PHARMA,TABLET,ORAL,Approved,23.11.2022,2022.0,authorised,yes,No,Biocon,Small molecule,,,,,,,,,,,No,FDA
21122,ANDA216437,REGADENOSON,REGADENOSON,EUGIA PHARMA,SOLUTION,INTRAVENOUS,Approved,26.10.2022,2022.0,authorised,yes,No,Eugia,Small molecule,,,,,,,,,,,No,FDA
21123,ANDA216438,MICAFUNGIN SODIUM,MICAFUNGIN SODIUM,BIOCON PHARMA,INJECTABLE,INTRAVENOUS,Approved,29.05.2024,2024.0,authorised,yes,No,Biocon,Biologics,,,,,,,,,,,No,FDA
21124,ANDA216439,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,AMTA,tablet,ORAL,Approved,07.03.2023,2023.0,authorised,yes,No,AMTA,Small molecule,,,,,,,,,,,No,FDA
21125,ANDA216440,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,AUROBINDO PHARMA,CAPSULE,ORAL,Approved,20.03.2023,2023.0,authorised,yes,No,Aurobindo,Small molecule,Mental and behavioural disorders,<Obsessive-Compulsive Disorder>,<Obsessive-Compulsive Disorder>,,,,"INDICATIONS AND USAGE Clomipramine hydrochloride capsules are indicated for the treatment of obsessions and compulsions in patients with Obsessive-Compulsive Disorder (OCD). The obsessions or compulsions must cause marked distress, be time-consuming, or significantly interfere with social or occupational functioning, in order to meet the DSM-III-R (circa 1989) diagnosis of OCD. Obsessions are recurrent, persistent ideas, thoughts, images, or impulses that are ego-dystonic. Compulsions are repetitive, purposeful, and intentional behaviors performed in response to an obsession or in a stereotyped fashion, and are recognized by the person as excessive or unreasonable. The effectiveness of clomipramine hydrochloride capsules for the treatment of OCD was demonstrated in multicenter, placebo-controlled, parallel-group studies, including two 10-week studies in adults and one 8-week study in children and adolescents 10 to 17 years of age. Patients in all studies had moderate-to-severe OCD (DSM-III), with mean baseline ratings on the Yale-Brown Obsessive Compulsive Scale (YBOCS) ranging from 26 to 28 and a mean baseline rating of 10 on the NIMH Clinical Global Obsessive Compulsive Scale (NIMH-OC). Patients taking CMI experienced a mean reduction of approximately 10 on the YBOCS, representing an average improvement on this scale of 35% to 42% among adults and 37% among children and adolescents. CMI-treated patients experienced a 3.5 unit decrement on the NIMH-OC. Patients on placebo showed no important clinical response on either scale. The maximum dose was 250 mg/day for most adults and 3 mg/kg/day (up to 200 mg) for all children and adolescents. The effectiveness of clomipramine hydrochloride capsules for long-term use (i.e., for more than 10 weeks) has not been systematically evaluated in placebo-controlled trials. The physician who elects to use clomipramine hydrochloride capsules for extended periods should periodically reevaluate the long-term usefulness of the drug for the individual patient ( see DOSAGE AND ADMINISTRATION ).",,,,No,FDA
21126,ANDA216441,FAMOTIDINE,FAMOTIDINE,ZYDUS PHARMS,TABLET,ORAL,Approved,03.06.2022,2022.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
21127,ANDA216445,DAPTOMYCIN,DAPTOMYCIN,ASPIRO,POWDER,INTRAVENOUS,Approved,23.12.2022,2022.0,authorised,yes,No,Not Reported,Peptides and proteins,Infectious and parasitic diseases; Diseases of the skin; Diseases of the circulatory system,<Complicated Skin and Skin Structure Infections>; <Staphylococcus aureus Bloodstream Infections>; <Infective Endocarditis>,<Complicated Skin and Skin Structure Infections>; <Staphylococcus aureus Bloodstream Infections>; <Infective Endocarditis>,,,,"1 INDICATIONS AND USAGE Daptomycin for injection is a lipopeptide antibacterial indicated for the treatment of: • Complicated skin and skin structure infections (cSSSI) in adult and pediatric patients (1 to 17 years of age) ( 1.1 ) and, • Staphylococcus aureus bloodstream infections (bacteremia), in adult patients including those with right-sided infective endocarditis, ( 1.2 ) • Staphylococcus aureus bloodstream infections (bacteremia) in pediatric patients (1 to 17 years of age). ( 1.3 ) Limitations of Use : • Daptomycin for injection is not indicated for the treatment of pneumonia. ( 1.4 ) • Daptomycin for injection is not indicated for the treatment of left-sided infective endocarditis due to S. aureus . ( 1.4 ) • Daptomycin for Injection is not recommended in pediatric patients younger than one year of age due to the risk of potential effects on muscular, neuromuscular, and/or nervous systems (either peripheral and/or central) observed in neonatal dogs. ( 1.4 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of daptomycin for injection and other antibacterial drugs, daptomycin for injection should be used to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1.5 ) 1.1 Complicated Skin and Skin Structure Infections (cSSSI) Daptomycin for injection is indicated for the treatment of adult and pediatric patients (1 to 17 years of age) with complicated skin and skin structure infections (cSSSI) caused by susceptible isolates of the following Gram-positive bacteria: Staphylococcus aureus (including methicillin-resistant isolates), Streptococcus pyogenes, Streptococcus agalactiae, Streptococcus dysgalactiae subsp. equisimilis, and Enterococcus faecalis (vancomycin-susceptible isolates only). 1.2 Staphylococcus aureus Bloodstream Infections (Bacteremia) in Adult Patients, Including Those with Right-Sided Infective Endocarditis, Caused by Methicillin-Susceptible and Methicillin-Resistant Isolates Daptomycin for injection is indicated for the treatment of adult patients with Staphylococcus aureus bloodstream infections (bacteremia), including adult patients with right-sided infective endocarditis, caused by methicillin-susceptible and methicillin-resistant isolates. 1.3 Staphylococcus aureus Bloodstream Infections (Bacteremia) in Pediatric Patients (1 to 17 Years of Age) Daptomycin for injection is indicated for the treatment of pediatric patients (1 to 17 years of age) with Staphylococcus aureus bloodstream infections (bacteremia). 1.4 Limitations of Use Daptomycin for injection is not indicated for the treatment of pneumonia. Daptomycin for injection is not indicated for the treatment of left-sided infective endocarditis due to S. aureus . The clinical trial of daptomycin for injection in adult patients with S. aureus bloodstream infections included limited data from patients with left-sided infective endocarditis; outcomes in these patients were poor [see Clinical Studies ( 14.2 )] . Daptomycin for injection has not been studied in patients with prosthetic valve endocarditis. Daptomycin for injection is not recommended in pediatric patients younger than 1 year of age due to the risk of potential effects on muscular, neuromuscular, and/or nervous systems (either peripheral and/or central) observed in neonatal dogs [see Warnings and Precautions ( 5.7 ) and Nonclinical Toxicology ( 13.2 )] . 1.5 Usage Appropriate specimens for microbiological examination should be obtained in order to isolate and identify the causative pathogens and to determine their susceptibility to daptomycin. To reduce the development of drug-resistant bacteria and maintain the effectiveness of daptomycin for injection and other antibacterial drugs, daptomycin for injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information is available, it should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Empiric therapy may be initiated while awaiting test results.",,,,No,FDA
21128,ANDA216446,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,ANNORA PHARMA,SUPPOSITORY,RECTAL,Approved,02.11.2022,2022.0,authorised,yes,No,Annora,Small molecule,,,,,,,,,,,No,FDA
21129,ANDA216448,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,NOVITIUM PHARMA,SOLUTION,ORAL,Approved,09.11.2022,2022.0,authorised,yes,No,Novitium,Small molecule,Mental and behavioural disorders,<Major Depressive Disorder>; <Obsessive-Compulsive Disorder>; <Bulimia Nervosa>; <Panic Disorder>; <Bipolar Disorder>,<Major Depressive Disorder>; <Obsessive-Compulsive Disorder>; <Bulimia Nervosa>; <Panic Disorder>; <Bipolar Disorder>,,,,"1 INDICATIONS & USAGE Fluoxetine is indicated for the treatment of: Acute and maintenance treatment of Major Depressive Disorder [ see Clinical Studies (14.1) ]. Acute and maintenance treatment of obsessions and compulsions in patients with Obsessive Compulsive Disorder (OCD) [ see Clinical Studies (14.2) ]. Acute and maintenance treatment of binge-eating and vomiting behaviors in patients with moderate to severe Bulimia Nervosa [ see Clinical Studies (14.3) ]. Acute treatment of Panic Disorder, with or without agoraphobia [ see Clinical Studies (14.4) ]. Fluoxetine monotherapy is not indicated for the treatment of depressive episodes associated with Bipolar I Disorder or the treatment of treatment resistant depression. Fluoxetine is a selective serotonin reuptake inhibitor indicated for: Acute and maintenance treatment of Major Depressive Disorder (MDD) (1) Acute and maintenance treatment of Obsessive Compulsive Disorder (OCD) (1) Acute and maintenance treatment of Bulimia Nervosa (1) Acute treatment of Panic Disorder, with or without agoraphobia (1)",,,,No,FDA
21130,ANDA216452,NITROGLYCERIN,NITROGLYCERIN,ENCUBE,OINTMENT,INTRA-ANAL,Approved,16.12.2024,2024.0,authorised,yes,No,Encube,Small molecule,,,,,,,,,,,No,FDA
21131,ANDA216453,METHOTREXATE SODIUM,METHOTREXATE SODIUM,ELITE LABS INC,TABLET,ORAL,Approved,16.05.2024,2024.0,authorised,yes,No,Elite,Small molecule,,,,,,,,,,,No,FDA
21132,ANDA216454,EXEMESTANE,EXEMESTANE,EUGIA PHARMA,TABLET,ORAL,Approved,20.05.2022,2022.0,authorised,yes,No,Eugia,Small molecule,,,,,,,,,,,No,FDA
21133,ANDA216456,TIOPRONIN,TIOPRONIN,TEVA PHARMS INC,tablet,ORAL,Approved,22.07.2024,2024.0,authorised,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
21134,ANDA216458,ENALAPRIL MALEATE,ENALAPRIL MALEATE,AUROBINDO PHARMA,SOLUTION,ORAL,Approved,08.01.2024,2024.0,authorised,yes,No,Aurobindo,Small molecule,,,,,,,,,,,No,FDA
21135,ANDA216461,LACOSAMIDE,LACOSAMIDE,MEDLEY PHARMS,SOLUTION,ORAL,Approved,06.02.2023,2023.0,authorised,yes,No,Medley,Small molecule,,,,,,,,,,,No,FDA
21136,ANDA216462,SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,GLENMARK PHARMS LTD,TABLET,ORAL,Approved,01.11.2022,2022.0,authorised,yes,No,Glenmark,Small molecule,,,,,,,,,,,No,FDA
21137,ANDA216463,MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,ANNORA PHARMA,CAPSULE,ORAL,Approved,09.11.2022,2022.0,authorised,yes,No,Annora,Small molecule,,,,,,,,,,,No,FDA
21138,ANDA216464,AMINOCAPROIC ACID,AMINOCAPROIC ACID,ANNORA PHARMA,SOLUTION,ORAL,Approved,04.11.2022,2022.0,authorised,yes,No,Annora,Small molecule,Diseases of the blood and blood-forming organs; Diseases of the circulatory system; Diseases of the genitourinary system; Neoplasms; Pregnancy and childbirth,<Amegakaryocytic Thrombocytopenia>; <Aplastic Anemia>; <Abruptio Placentae>; <Hepatic Cirrhosis>; <Neoplasms>; <Prostatic Neoplasms>; <Lung Neoplasms>; <Stomach Neoplasms>; <Cervical Neoplasms>; <Polycystic Kidney Diseases>,<Amegakaryocytic Thrombocytopenia>; <Aplastic Anemia>; <Abruptio Placentae>; <Hepatic Cirrhosis>; <Neoplasms>; <Prostatic Neoplasms>; <Lung Neoplasms>; <Stomach Neoplasms>; <Cervical Neoplasms>; <Polycystic Kidney Diseases>,,,,"INDICATIONS AND USAGE Aminocaproic acid oral solution is useful in enhancing hemostasis when fibrinolysis contributes to bleeding. In life-threatening situations, transfusion of appropriate blood products and other emergency measures may be required. Fibrinolytic bleeding may frequently be associated with surgical complications following heart surgery (with or without cardiac bypass procedures) and portacaval shunt; hematological disorders such as amegakaryocytic thrombocytopenia (accompanying aplastic anemia); acute and life-threatening abruptio placentae; hepatic cirrhosis; and neoplastic disease such as carcinoma of the prostate, lung, stomach, and cervix. Urinary fibrinolysis, usually a normal physiological phenomenon, may contribute to excessive urinary tract fibrinolytic bleeding associated with surgical hematuria (following prostatectomy and nephrectomy) or nonsurgical hematuria (accompanying polycystic or neoplastic diseases of the genitourinary system). (See WARNINGS .)",,,,No,FDA
21139,ANDA216467,ACETAMINOPHEN,ACETAMINOPHEN,ZYDUS PHARMS,SOLUTION,INTRAVENOUS,Approved,25.10.2022,2022.0,Discontinued,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
21140,ANDA216470,,,LUPIN LTD,,,conditional marketing authorisation,03.07.2023,2023.0,None (conditional marketing authorisation),yes,No,Lupin,,,,,,,,,,,,,FDA
21141,ANDA216471,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,FRESENIUS KABI USA,INJECTABLE,INJECTION,Approved,23.04.2024,2024.0,authorised,yes,No,Fresenius,Small molecule,Diseases of the circulatory system,<Supraventricular Tachycardia>; <Atrial Flutter>; <Atrial Fibrillation>,<Supraventricular Tachycardia>; <Atrial Flutter>; <Atrial Fibrillation>,,,,"INDICATIONS AND USAGE Verapamil hydrochloride injection is indicated for the following: Rapid conversion to sinus rhythm of paroxysmal supraventricular tachycardias, including those associated with accessory bypass tracts (Wolff-Parkinson-White [W-P- W] and Lown-Ganong-Levine [L-G-L] syndromes). When clinically advisable, appropriate vagal maneuvers (e.g., Valsalva maneuver) should be attempted prior to verapamil hydrochloride administration. Temporary control of rapid ventricular rate in atrial flutter or atrial fibrillation except when the atrial flutter and/or atrial fibrillation are associated with accessory bypass tracts (Wolff-Parkinson-White [W-P-W] and Lown-Ganong-Levine [L-G-L] syndromes). In controlled studies in the United States, about 60% of patients with supraventricular tachycardia converted to normal sinus rhythm within 10 minutes after intravenous verapamil hydrochloride. Uncontrolled studies reported in the world literature describe a conversion rate of about 80%. About 70% of patients with atrial flutter and/or fibrillation with a faster ventricular rate respond with a decrease in ventricular rate of at least 20%. Conversion of atrial flutter or fibrillation to sinus rhythm is uncommon (about 10%) after verapamil hydrochloride and may reflect the spontaneous conversion rate, since the conversion rate after placebo was similar. Slowing of the ventricular rate in patients with atrial fibrillation/flutter lasts 30 to 60 minutes after a single injection. Because a small fraction (<1%) of patients treated with verapamil hydrochloride respond with life-threatening adverse responses (rapid ventricular rate in atrial flutter/fibrillation, and an accessory bypass tract, marked hypotension, or extreme bradycardia/asystole-see CONTRAINDICATIONS and WARNINGS ), the initial use of intravenous verapamil hydrochloride injection should, if possible, be in a treatment setting with monitoring and resuscitation facilities, including DC-cardioversion capability (see ADVERSE REACTIONS: Suggested Treatment of Acute Cardiovascular Adverse Reactions ). As familiarity with the patient's response is gained, use in an office setting may be acceptable. Cardioversion has been used safely and effectively after verapamil hydrochloride injection.",,,,No,FDA
21142,ANDA216474,SUCRALFATE,SUCRALFATE,STRIDES PHARMA,SUSPENSION,ORAL,Approved,21.05.2024,2024.0,authorised,yes,No,Strides,Small molecule,,,,,,,,,,,No,FDA
21143,ANDA216481,ESLICARBAZEPINE ACETATE,ESLICARBAZEPINE ACETATE,AUROBINDO PHARMA LTD,TABLET,ORAL,conditional marketing authorisation,31.07.2023,2023.0,None (conditional marketing authorisation),yes,No,Aurobindo,Small molecule,,,,,,,,,,,No,FDA
21144,ANDA216486,FORMOTEROL FUMARATE,FORMOTEROL FUMARATE,RITEDOSE CORP,SOLUTION,INHALATION,Approved,25.11.2022,2022.0,authorised,yes,No,Ritedose,Small molecule,Diseases of the respiratory system,<Chronic Obstructive Pulmonary Disease>; <Chronic Bronchitis>; <Emphysema>; <Asthma>,<Chronic Obstructive Pulmonary Disease>; <Chronic Bronchitis>; <Emphysema>; <Asthma>,,,,"1 INDICATIONS AND USAGE Formoterol Fumarate Inhalation Solution is a long-acting beta 2 -adrenergic agonist (beta 2 -agonist) indicated for: Long-term, twice daily (morning and evening) administration in the maintenance treatment of bronchoconstriction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. ( 1.1 ) Important limitations of use: Formoterol Fumarate Inhalation Solution is not indicated to treat acute deteriorations of chronic obstructive pulmonary disease. ( 1.2 , 5.2 ) Formoterol Fumarate Inhalation Solution is not indicated to treat asthma. ( 1.2 ) 1.1 Maintenance Treatment of COPD Formoterol Fumarate Inhalation Solution is indicated for the long-term, twice daily (morning and evening) administration in the maintenance treatment of bronchoconstriction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema. 1.2 Important Limitations of Use Formoterol Fumarate Inhalation Solution is not indicated to treat acute deteriorations of chronic obstructive pulmonary disease [see WARNINGS AND PRECAUTIONS (5.2) ]. Formoterol Fumarate Inhalation Solution is not indicated to treat asthma. The safety and effectiveness of Formoterol Fumarate Inhalation Solution in asthma have not been established.",,,,No,FDA
21145,ANDA216488,POSACONAZOLE,POSACONAZOLE,I 3 PHARMS,tablet,ORAL,Approved,28.08.2023,2023.0,authorised,yes,No,I 3,Small molecule,,,,,,,,,,,No,FDA
21146,ANDA216492,GABAPENTIN,GABAPENTIN,RUBICON,SOLUTION,ORAL,Approved,18.01.2023,2023.0,authorised,yes,No,Rubicon,Small molecule,Diseases of the nervous system,<Postherpetic Neuralgia>; <Epilepsy>,<Postherpetic Neuralgia>; <Epilepsy>,,,,"1 INDICATIONS AND USAGE Gabapentin oral solution is indicated for: Management of postherpetic neuralgia in adults Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy Gabapentin oral solution is indicated for: Postherpetic neuralgia in adults ( 1 ) Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy ( 1 )",,,,No,FDA
21147,ANDA216493,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,HANGZHOU ZHONGMEI,INJECTABLE,SUBCUTANEOUS,Approved,19.08.2024,2024.0,authorised,yes,No,Zhongmei,Small molecule,,,,,,,,,,,No,FDA
21148,ANDA216494,FLUOROURACIL,FLUOROURACIL,KINDOS,INJECTABLE,INJECTION,Approved,24.09.2024,2024.0,authorised,yes,No,Not Reported,Small molecule,,,,,,,,,,,No,FDA
21149,ANDA216495,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,ZYDUS LIFESCIENCES,TABLET,ORAL,Approved,08.08.2022,2022.0,authorised,yes,No,Zydus,Small molecule,,,,,,,,,,,No,FDA
21150,ANDA216496,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,MANKIND PHARMA,solution; drops,OPHTHALMIC,Approved,11.01.2023,2023.0,authorised,yes,No,Mankind,Small molecule,,,,,,,,,,,No,FDA
21151,ANDA216499,,,"SOMERSET THERAPEUTICS, LLC",,,conditional marketing authorisation,23.12.2024,2024.0,None (conditional marketing authorisation),yes,No,Somerset,,,,,,,,,,,,,FDA
21152,ANDA216501,CIPROFLOXACIN AND DEXAMETHASONE,CIPROFLOXACIN,AMNEAL,suspension; drops,OTIC,Approved,22.03.2024,2024.0,authorised,yes,No,Amneal,Small molecule,Infectious and parasitic diseases; Diseases of the ear and mastoid process,<Otitis Externa>,<Otitis Externa>,,,,"1 INDICATIONS AND USAGE Ciprofloxacin and dexamethasone otic suspension is indicated for the treatment of infections caused by susceptible isolates of the designated microorganisms in the specific condition listed below: Acute Otitis Externa (AOE) in pediatric (age 6 months and older), adult and elderly patients due to Staphylococcus aureus and Pseudomonas aeruginosa. Ciprofloxacin and dexamethasone otic suspension is a combination of ciprofloxacin, a fluoroquinolone antibacterial and dexamethasone, a corticosteroid, indicated for the treatment of infections caused by susceptible isolates of the designated microorganisms in the specific condition listed below: Acute Otitis Externa (AOE) in pediatric (age 6 months and older), adult, and elderly patients due to Staphylococcus aureus and Pseudomonas aeruginosa . ( 1 )",,,,No,FDA
21153,ANDA216502,METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,AMNEAL,INJECTABLE,INJECTION,Approved,03.11.2023,2023.0,authorised,yes,No,Amneal,Small molecule,,,,,,,,,,,No,FDA
21154,ANDA216505,CARBIDOPA AND LEVODOPA,CARBIDOPA,RUBICON,TABLET,ORAL,Approved,21.09.2022,2022.0,authorised,yes,No,Rubicon,Small molecule,,,,,,,,,,,No,FDA
21155,ANDA216509,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,granule,tablet,ORAL,Approved,07.08.2023,2023.0,Discontinued,yes,No,granule,Small molecule,,,,,,,,,,,No,FDA
21156,ANDA216510,NELARABINE,NELARABINE,XGEN PHARMS,INJECTABLE,INTRAVENOUS,Approved,05.09.2024,2024.0,authorised,yes,No,XGEN,Small molecule,,,,,,,,,,,No,FDA
21157,ANDA216511,,,LUPIN LTD,,,conditional marketing authorisation,28.01.2025,2025.0,None (conditional marketing authorisation),yes,No,Lupin,,,,,,,,,,,,,FDA
21158,ANDA216512,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,MSN,SYRUP,ORAL,Approved,21.09.2023,2023.0,authorised,yes,No,MSN,Small molecule,,,,,,,,,,,No,FDA
21159,ANDA216517,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,10.03.2023,2023.0,authorised,yes,No,ANI,Small molecule,,,,,,,,,,,No,FDA
21160,ANDA216521,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,SCIEGEN PHARMS INC,TABLET,ORAL,Approved,23.09.2022,2022.0,authorised,yes,No,SCIEGEN,Small molecule,,,,,,,,,,,No,FDA
21161,ANDA216524,ESTRADIOL,ESTRADIOL,PADAGIS ISRAEL,GEL,TRANSDERMAL,Approved,14.11.2023,2023.0,authorised,yes,No,PADAGIS,Small molecule,,,,,,,,,,,No,FDA
21162,ANDA216529,,,ALKEM LABS LTD,,,conditional marketing authorisation,18.10.2024,2024.0,None (conditional marketing authorisation),yes,No,Alkem,,,,,,,,,,,,,FDA
21163,ANDA216531,AMBRISENTAN,AMBRISENTAN,AUROBINDO PHARMA,TABLET,ORAL,Approved,21.07.2022,2022.0,authorised,yes,No,Aurobindo,Small molecule,,,,,,,,,,,No,FDA
