drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
pertuzumab,EMA,TGA,140,4.599211563731932,2012-12-13,2013-05-02,EMA -> TGA
pirfenidone,EMA,TGA,1877,61.662286465177395,2010-12-16,2016-02-05,EMA -> TGA
pirtobrutinib,EMA,Swissmedic,218,7.1616294349540075,2023-04-26,2023-11-30,EMA -> Swissmedic
plerixafor,EMA,TGA,354,11.629434954007884,2009-05-29,2010-05-18,EMA -> TGA
polatuzumab vedotin,TGA,EMA,27,0.8869908015768725,2019-10-18,2019-11-14,TGA -> EMA
polatuzumab vedotin,EMA,Swissmedic,579,19.021024967148488,2019-11-14,2021-06-15,EMA -> Swissmedic
pomalidomide,EMA,TGA,393,12.910643889618921,2013-05-30,2014-06-27,EMA -> TGA
ponatinib,EMA,TGA,608,19.97371879106439,2013-03-21,2014-11-19,EMA -> TGA
ponesimod,EMA,Swissmedic,236,7.752956636005256,2021-03-25,2021-11-16,EMA -> Swissmedic
ponesimod,Swissmedic,TGA,111,3.6465177398160313,2021-11-16,2022-03-07,Swissmedic -> TGA
pralsetinib,Swissmedic,EMA,35,1.149802890932983,2021-08-12,2021-09-16,Swissmedic -> EMA
pralsetinib,EMA,TGA,559,18.363994743758212,2021-09-16,2023-03-29,EMA -> TGA
prasterone,EMA,TGA,2044,67.1484888304862,2017-11-09,2023-06-15,EMA -> TGA
prucalopride,EMA,TGA,803,26.379763469119577,2009-07-23,2011-10-04,EMA -> TGA
raltegravir,EMA,TGA,2033,66.78712220762155,2007-07-09,2013-01-31,EMA -> TGA
ranibizumab,EMA,TGA,1723,56.60315374507227,2007-01-22,2011-10-11,EMA -> TGA
ranolazine,EMA,TGA,2940,96.58344283837056,2008-04-24,2016-05-12,EMA -> TGA
rasagiline,TGA,EMA,1165,38.272010512483575,2011-09-12,2014-11-20,TGA -> EMA
ravulizumab,EMA,TGA,165,5.4204993429697765,2019-04-26,2019-10-08,EMA -> TGA
ravulizumab,TGA,Swissmedic,686,22.536136662286463,2019-10-08,2021-08-24,TGA -> Swissmedic
regdanvimab,EMA,TGA,25,0.8212877792378449,2021-11-11,2021-12-06,EMA -> TGA
regdanvimab,TGA,Swissmedic,37,1.2155059132720105,2021-12-06,2022-01-12,TGA -> Swissmedic
regorafenib,EMA,TGA,152,4.993429697766097,2013-06-27,2013-11-26,EMA -> TGA
remdesivir,EMA,TGA,15,0.49277266754270693,2020-06-25,2020-07-10,EMA -> TGA
remdesivir,TGA,Swissmedic,138,4.533508541392904,2020-07-10,2020-11-25,TGA -> Swissmedic
reslizumab,EMA,TGA,389,12.779237844940866,2016-06-23,2017-07-17,EMA -> TGA
retigabine,EMA,TGA,889,29.204993429697765,2011-01-20,2013-06-27,EMA -> TGA
rilpivirine,EMA,TGA,89,2.923784494086728,2011-09-22,2011-12-20,EMA -> TGA
rimegepant,EMA,TGA,508,16.68856767411301,2022-02-24,2023-07-17,EMA -> TGA
rimegepant,TGA,Swissmedic,93,3.055190538764783,2023-07-17,2023-10-18,TGA -> Swissmedic
riociguat,EMA,TGA,74,2.431011826544021,2014-01-23,2014-04-07,EMA -> TGA
ripretinib,TGA,EMA,433,14.224704336399475,2020-07-10,2021-09-16,TGA -> EMA
ripretinib,EMA,Swissmedic,21,0.6898817345597897,2021-09-16,2021-10-07,EMA -> Swissmedic
risankizumab,EMA,TGA,137,4.50065703022339,2019-02-28,2019-07-15,EMA -> TGA
risdiplam,EMA,Swissmedic,70,2.299605781865966,2021-02-25,2021-05-06,EMA -> Swissmedic
risdiplam,Swissmedic,TGA,27,0.8869908015768725,2021-05-06,2021-06-02,Swissmedic -> TGA
risperidone,TGA,EMA,4291,140.9658344283837,2010-03-18,2021-12-16,TGA -> EMA
ritlecitinib,EMA,TGA,342,11.235216819973719,2023-07-20,2024-06-26,EMA -> TGA
rituximab,EMA,TGA,3004,98.68593955321944,2001-10-18,2010-01-08,EMA -> TGA
rivaroxaban,EMA,TGA,1281,42.08278580814717,2008-09-30,2012-04-03,EMA -> TGA
romosozumab,TGA,EMA,118,3.876478318002628,2019-06-21,2019-10-17,TGA -> EMA
ropeginterferon alfa-2b,EMA,Swissmedic,566,18.593955321944808,2018-12-13,2020-07-01,EMA -> Swissmedic
rotigotine,TGA,EMA,188,6.176084099868594,2010-10-08,2011-04-14,TGA -> EMA
ruxolitinib,EMA,TGA,435,14.290407358738502,2012-04-19,2013-06-28,EMA -> TGA
sacituzumab govitecan,TGA,Swissmedic,6,0.19710906701708278,2021-09-03,2021-09-09,TGA -> Swissmedic
sacituzumab govitecan,Swissmedic,EMA,35,1.149802890932983,2021-09-09,2021-10-14,Swissmedic -> EMA
safinamide,EMA,TGA,1412,46.38633377135348,2014-12-18,2018-10-30,EMA -> TGA
sarilumab,EMA,TGA,509,16.72141918528252,2017-04-21,2018-09-12,EMA -> TGA
satralizumab,TGA,EMA,160,5.256241787122208,2020-11-13,2021-04-22,TGA -> EMA
saxagliptin,EMA,TGA,620,20.367936925098554,2009-06-25,2011-03-07,EMA -> TGA
saxagliptin / dapagliflozin,EMA,TGA,148,4.862023653088042,2016-05-26,2016-10-21,EMA -> TGA
sebelipase alfa,EMA,TGA,692,22.733245729303547,2015-06-25,2017-05-17,EMA -> TGA
secukinumab,EMA,TGA,49,1.609724047306176,2014-11-20,2015-01-08,EMA -> TGA
selexipag,TGA,EMA,14,0.45992115637319314,2016-03-18,2016-04-01,TGA -> EMA
selinexor,EMA,TGA,399,13.107752956636006,2021-01-28,2022-03-03,EMA -> TGA
selpercatinib,EMA,Swissmedic,60,1.9710906701708277,2020-12-10,2021-02-08,EMA -> Swissmedic
selpercatinib,Swissmedic,TGA,869,28.54796320630749,2021-02-08,2023-06-27,Swissmedic -> TGA
selumetinib,EMA,Swissmedic,463,15.210249671484888,2021-04-22,2022-07-29,EMA -> Swissmedic
selumetinib,Swissmedic,TGA,739,24.277266754270695,2022-07-29,2024-08-06,Swissmedic -> TGA
semaglutide,EMA,Swissmedic,831,27.299605781865964,2017-12-14,2020-03-24,EMA -> Swissmedic
semaglutide,Swissmedic,TGA,682,22.404730617608408,2020-03-24,2022-02-04,Swissmedic -> TGA
sevelamer carbonate,EMA,TGA,2217,72.83180026281208,2009-03-19,2015-04-14,EMA -> TGA
sildenafil,EMA,TGA,813,26.708278580814717,2009-06-25,2011-09-16,EMA -> TGA
silodosin,EMA,TGA,2737,89.91458607095926,2009-11-19,2017-05-18,EMA -> TGA
simeprevir,EMA,TGA,112,3.679369250985545,2014-03-20,2014-07-10,EMA -> TGA
simoctocog alfa,EMA,TGA,167,5.486202365308804,2014-05-22,2014-11-05,EMA -> TGA
siponimod,TGA,EMA,20,0.657030223390276,2019-10-25,2019-11-14,TGA -> EMA
sitagliptin,EMA,TGA,1708,56.11038107752957,2008-01-10,2012-09-13,EMA -> TGA
sodium phenylbutyrate,EMA,TGA,1548,50.85413929040735,2013-02-21,2017-05-19,EMA -> TGA
sodium zirconium cyclosilicate,EMA,TGA,2261,74.2772667542707,2018-01-25,2024-04-04,EMA -> TGA
sofosbuvir,EMA,TGA,221,7.260183968462549,2013-11-21,2014-06-30,EMA -> TGA
sofosbuvir / velpatasvir / voxilaprevir,EMA,TGA,264,8.672798948751643,2017-06-22,2018-03-13,EMA -> TGA
solriamfetol,EMA,Swissmedic,859,28.21944809461235,2019-11-14,2022-03-22,EMA -> Swissmedic
somapacitan,EMA,TGA,382,12.54927726675427,2021-01-28,2022-02-14,EMA -> TGA
somatrogon,TGA,EMA,23,0.7555847568988173,2021-11-23,2021-12-16,TGA -> EMA
somatrogon,EMA,Swissmedic,267,8.771353482260183,2021-12-16,2022-09-09,EMA -> Swissmedic
somatropin,TGA,EMA,1258,41.32720105124836,2009-12-19,2013-05-30,TGA -> EMA
sonidegib,EMA,TGA,42,1.3797634691195795,2015-06-25,2015-08-06,EMA -> TGA
sorafenib,EMA,TGA,2834,93.1011826544021,2006-07-19,2014-04-22,EMA -> TGA
sotatercept,EMA,Swissmedic,78,2.562417871222076,2024-06-27,2024-09-13,EMA -> Swissmedic
sotorasib,EMA,Swissmedic,35,1.149802890932983,2021-11-11,2021-12-16,EMA -> Swissmedic
sotorasib,Swissmedic,TGA,102,3.350854139290407,2021-12-16,2022-03-28,Swissmedic -> TGA
sotrovimab,TGA,EMA,118,3.876478318002628,2021-08-20,2021-12-16,TGA -> EMA
sotrovimab,EMA,Swissmedic,29,0.9526938239159001,2021-12-16,2022-01-14,EMA -> Swissmedic
sparsentan,EMA,Swissmedic,235,7.720105124835742,2024-02-22,2024-10-14,EMA -> Swissmedic
spesolimab,EMA,Swissmedic,300,9.85545335085414,2022-10-13,2023-08-09,EMA -> Swissmedic
spesolimab,Swissmedic,TGA,27,0.8869908015768725,2023-08-09,2023-09-05,Swissmedic -> TGA
sunitinib,TGA,EMA,3577,117.50985545335085,2011-02-24,2020-12-10,TGA -> EMA
tabelecleucel,EMA,Swissmedic,568,18.659658344283837,2022-10-13,2024-05-03,EMA -> Swissmedic
tacrolimus,EMA,TGA,308,10.11826544021025,2009-05-15,2010-03-19,EMA -> TGA
tadalafil,TGA,EMA,1147,37.680683311432325,2011-08-05,2014-09-25,TGA -> EMA
tafamidis,Swissmedic,TGA,8,0.2628120893561104,2020-03-05,2020-03-13,Swissmedic -> TGA
tafasitamab,EMA,Swissmedic,271,8.902759526938238,2021-06-24,2022-03-22,EMA -> Swissmedic
tafasitamab,Swissmedic,TGA,454,14.914586070959263,2022-03-22,2023-06-19,Swissmedic -> TGA
tagraxofusp,EMA,Swissmedic,813,26.708278580814717,2020-11-12,2023-02-03,EMA -> Swissmedic
talazoparib,EMA,TGA,203,6.668856767411301,2019-04-26,2019-11-15,EMA -> TGA
talimogene laherparepvec,EMA,TGA,57,1.8725361366622864,2015-10-22,2015-12-18,EMA -> TGA
talquetamab,EMA,Swissmedic,102,3.350854139290407,2023-07-20,2023-10-30,EMA -> Swissmedic
tebentafusp,EMA,TGA,92,3.0223390275952693,2022-02-24,2022-05-27,EMA -> TGA
tebentafusp,TGA,Swissmedic,347,11.399474375821287,2022-05-27,2023-05-09,TGA -> Swissmedic
